Epi_date_V3,Year,Cases,7-Day Average,Cumulative Cases,AsOf
5/10/2022,2022,1,0,1,Data as Reported to CDC as of 05 Jul 2023 2:00 PM EDT
5/11/2022,2022,5,0,6,Data as Reported to CDC as of 05 Jul 2023 2:00 PM EDT
5/12/2022,2022,0,0,6,Data as Reported to CDC as of 05 Jul 2023 2:00 PM EDT
5/13/2022,2022,0,0,6,Data as Reported to CDC as of 05 Jul 2023 2:00 PM EDT
5/14/2022,2022,0,0,6,Data as Reported to CDC as of 05 Jul 2023 2:00 PM EDT
5/15/2022,2022,2,0,8,Data as Reported to CDC as of 05 Jul 2023 2:00 PM EDT
5/16/2022,2022,7,2.142857074737549,15,Data as Reported to CDC as of 05 Jul 2023 2:00 PM EDT
5/17/2022,2022,3,2.4285714626312256,18,Data as Reported to CDC as of 05 Jul 2023 2:00 PM EDT
5/18/2022,2022,2,2,20,Data as Reported to CDC as of 05 Jul 2023 2:00 PM EDT
5/19/2022,2022,3,2.4285714626312256,23,Data as Reported to CDC as of 05 Jul 2023 2:00 PM EDT
5/20/2022,2022,0,2.4285714626312256,23,Data as Reported to CDC as of 05 Jul 2023 2:00 PM EDT
5/21/2022,2022,1,2.5714285373687744,24,Data as Reported to CDC as of 05 Jul 2023 2:00 PM EDT
5/22/2022,2022,1,2.4285714626312256,25,Data as Reported to CDC as of 05 Jul 2023 2:00 PM EDT
5/23/2022,2022,3,1.8571428060531616,28,Data as Reported to CDC as of 05 Jul 2023 2:00 PM EDT
5/24/2022,2022,4,2,32,Data as Reported to CDC as of 05 Jul 2023 2:00 PM EDT
5/25/2022,2022,2,2,34,Data as Reported to CDC as of 05 Jul 2023 2:00 PM EDT
5/26/2022,2022,2,1.8571428060531616,36,Data as Reported to CDC as of 05 Jul 2023 2:00 PM EDT
5/27/2022,2022,4,2.4285714626312256,40,Data as Reported to CDC as of 05 Jul 2023 2:00 PM EDT
5/28/2022,2022,0,2.2857143878936768,40,Data as Reported to CDC as of 05 Jul 2023 2:00 PM EDT
5/29/2022,2022,6,3,46,Data as Reported to CDC as of 05 Jul 2023 2:00 PM EDT
5/30/2022,2022,8,3.7142856121063232,54,Data as Reported to CDC as of 05 Jul 2023 2:00 PM EDT
5/31/2022,2022,5,3.857142925262451,59,Data as Reported to CDC as of 05 Jul 2023 2:00 PM EDT
6/1/2022,2022,9,4.857142925262451,68,Data as Reported to CDC as of 05 Jul 2023 2:00 PM EDT
6/2/2022,2022,13,6.4285712242126465,81,Data as Reported to CDC as of 05 Jul 2023 2:00 PM EDT
6/3/2022,2022,7,6.857142925262451,88,Data as Reported to CDC as of 05 Jul 2023 2:00 PM EDT
6/4/2022,2022,5,7.5714287757873535,93,Data as Reported to CDC as of 05 Jul 2023 2:00 PM EDT
6/5/2022,2022,6,7.5714287757873535,99,Data as Reported to CDC as of 05 Jul 2023 2:00 PM EDT
6/6/2022,2022,20,9.285714149475098,119,Data as Reported to CDC as of 05 Jul 2023 2:00 PM EDT
6/7/2022,2022,19,11.285714149475098,138,Data as Reported to CDC as of 05 Jul 2023 2:00 PM EDT
6/8/2022,2022,12,11.714285850524902,150,Data as Reported to CDC as of 05 Jul 2023 2:00 PM EDT
6/9/2022,2022,6,10.714285850524902,156,Data as Reported to CDC as of 05 Jul 2023 2:00 PM EDT
6/10/2022,2022,24,13.142857551574707,180,Data as Reported to CDC as of 05 Jul 2023 2:00 PM EDT
6/11/2022,2022,11,14,191,Data as Reported to CDC as of 05 Jul 2023 2:00 PM EDT
6/12/2022,2022,25,16.714284896850586,216,Data as Reported to CDC as of 05 Jul 2023 2:00 PM EDT
6/13/2022,2022,25,17.428571701049805,241,Data as Reported to CDC as of 05 Jul 2023 2:00 PM EDT
