Date,Case Number
2020/07/02,0.0
2020/07/14,165.0
2020/07/15,175.0
2020/07/16,176.0
2020/07/17,164.0
2020/07/18,173.0
2020/07/19,177.0
2020/07/20,168.0
2020/07/21,147.0
2020/07/22,187.0
2020/07/23,158.0
2020/07/24,142.0
2020/07/25,210.0
2020/07/26,211.0
2020/07/27,142.0
2020/07/28,143.0
2020/07/29,142.0
2020/07/30,143.0
2020/07/31,144.0
2020/08/01,447.0
2020/08/02,373.0
2020/08/03,146.0
2020/08/04,154.0
2020/08/05,169.0
2020/08/06,168.0
2020/08/07,170.0
2020/08/08,163.0
2020/08/09,153.0
2020/08/10,155.0
2020/08/11,163.0
2020/08/12,155.0
2020/08/13,157.0
2020/08/14,153.0
2020/08/15,152.0
2020/08/16,154.0
2020/08/17,154.0
2020/08/18,145.0
2020/08/19,153.0
2020/08/20,130.0
2020/08/21,119.0
2020/08/22,111.0
2020/08/23,107.0
2020/08/24,122.0
2020/08/25,119.0
2020/08/26,129.0
2020/08/27,126.0
2020/08/28,124.0
2020/08/29,124.0
2020/08/30,122.0
2020/08/31,128.0
2020/09/01,221.0
2020/09/02,216.0
2020/09/03,216.0
2020/09/04,220.0
2020/09/05,219.0
2020/09/06,140.0
2020/09/07,154.0
2020/09/08,153.0
2020/09/09,147.0
2020/09/10,143.0
2020/09/11,139.0
2020/09/12,130.0
2020/09/13,131.0
2020/09/14,140.0
2020/09/15,149.0
2020/09/16,155.0
2020/09/17,154.0
2020/09/18,154.0
2020/09/19,152.0
2020/09/20,148.0
2020/09/21,166.0
2020/09/22,157.0
2020/09/23,167.0
2020/09/24,169.0
2020/09/25,171.0
2020/09/26,182.0
2020/09/27,188.0
2020/09/28,196.0
2020/09/29,211.0
2020/09/30,207.0
2020/10/01,206.0
2020/10/02,213.0
2020/10/03,219.0
2020/10/04,224.0
2020/10/05,248.0
2020/10/06,256.0
2020/10/07,262.0
2020/10/08,258.0
2020/10/09,279.0
2020/10/10,269.0
2020/10/11,272.0
2020/10/12,274.0
2020/10/13,289.0
2020/10/14,278.0
2020/10/15,271.0
2020/10/16,253.0
2020/10/17,260.0
2020/10/18,283.0
2020/10/19,286.0
2020/10/20,302.0
2020/10/21,297.0
2020/10/22,307.0
2020/10/23,302.0
2020/10/24,301.0
2020/10/25,318.0
2020/10/26,335.0
2020/10/27,341.0
2020/10/28,340.0
2020/10/29,343.0
2020/10/30,362.0
2020/10/31,366.0
2020/11/01,384.0
2020/11/02,396.0
2020/11/03,399.0
2020/11/04,399.0
2020/11/05,405.0
2020/11/06,413.0
2020/11/07,434.0
2020/11/08,451.0
2020/11/09,477.0
2020/11/10,512.0
2020/11/11,516.0
2020/11/12,526.0
2020/11/13,564.0
2020/11/14,590.0
2020/11/15,637.0
2020/11/16,682.0
2020/11/17,723.0
2020/11/18,752.0
2020/11/19,740.0
2020/11/20,718.0
2020/11/21,719.0
2020/11/22,731.0
2020/11/23,759.0
2020/11/24,748.0
2020/11/25,784.0
2020/11/26,799.0
2020/11/27,844.0
2020/11/28,876.0
2020/11/29,961.0
2020/11/30,964.0
2020/12/01,1009.0
2020/12/02,1104.0
2020/12/03,1170.0
2020/12/04,1198.0
2020/12/05,1176.0
2020/12/06,1269.0
2020/12/07,1274.0
2020/12/08,1300.0
2020/12/09,1370.0
2020/12/10,1373.0
2020/12/11,1409.0
2020/12/12,1445.0
2020/12/13,1520.0
2020/12/14,1522.0
2020/12/15,1530.0
2020/12/16,1604.0
2020/12/17,1621.0
2020/12/18,1652.0
2020/12/19,1640.0
2020/12/20,1696.0
2020/12/21,1644.0
2020/12/22,1954.0
2020/12/23,1804.0
2020/12/24,1796.0
2020/12/25,1784.0
2020/12/26,1866.0
2020/12/27,1922.0
2020/12/28,1886.0
2020/12/29,1878.0
2020/12/30,1969.0
2020/12/31,2023.0
2021/01/01,1993.0
2021/01/02,1997.0
2021/01/03,2067.0
2021/01/04,2067.0
2021/01/05,2010.0
2021/01/06,2020.0
2021/01/07,1984.0
2021/01/08,1959.0
2021/01/09,1874.0
2021/01/10,1878.0
2021/01/11,1829.0
2021/01/12,1807.0
2021/01/13,1899.0
2021/01/14,1881.0
2021/01/15,1890.0
2021/01/16,1853.0
2021/01/17,1898.0
2021/01/18,1847.0
2021/01/19,1828.0
2021/01/20,1851.0
2021/01/21,1801.0
2021/01/22,1758.0
2021/01/23,1661.0
2021/01/24,1665.0
2021/01/25,1592.0
2021/01/26,1580.0
2021/01/27,1554.0
2021/01/28,1486.0
2021/01/29,1456.0
2021/01/30,1421.0
2021/01/31,1424.0
2021/02/01,1330.0
2021/02/02,1351.0
2021/02/03,1310.0
2021/02/04,1273.0
2021/02/05,1232.0
2021/02/06,1161.0
2021/02/07,1149.0
2021/02/08,1123.0
2021/02/09,1093.0
2021/02/10,1084.0
2021/02/11,989.0
2021/02/12,910.0
2021/02/13,907.0
2021/02/14,893.0
2021/02/15,864.0
2021/02/16,861.0
2021/02/17,843.0
2021/02/18,810.0
2021/02/19,799.0
2021/02/20,768.0
2021/02/21,738.0
2021/02/22,695.0
2021/02/23,694.0
2021/02/24,699.0
2021/02/25,663.0
2021/02/26,640.0
2021/02/27,632.0
2021/02/28,654.0
2021/03/01,610.0
2021/03/02,596.0
2021/03/03,596.0
2021/03/04,562.0
2021/03/05,540.0
2021/03/06,524.0
2021/03/07,526.0
2021/03/08,532.0
2021/03/09,518.0
2021/03/10,522.0
2021/03/11,493.0
2021/03/12,488.0
2021/03/13,488.0
2021/03/14,478.0
2021/03/15,468.0
2021/03/16,476.0
2021/03/17,467.0
2021/03/18,462.0
2021/03/19,466.0
2021/03/20,464.0
2021/03/21,487.0
2021/03/22,463.0
2021/03/23,486.0
2021/03/24,530.0
2021/03/25,524.0
2021/03/26,550.0
2021/03/27,551.0
2021/03/28,552.0
2021/03/29,540.0
2021/03/30,524.0
2021/03/31,551.0
2021/04/01,560.0
2021/04/02,554.0
2021/04/03,557.0
2021/04/04,551.0
2021/04/05,557.0
2021/04/06,579.0
2021/04/07,565.0
2021/04/08,545.0
2021/04/09,518.0
2021/04/10,535.0
2021/04/11,546.0
2021/04/12,544.0
2021/04/13,547.0
2021/04/14,550.0
2021/04/15,537.0
2021/04/16,527.0
2021/04/17,544.0
2021/04/18,547.0
2021/04/19,534.0
2021/04/20,524.0
2021/04/21,496.0
2021/04/22,499.0
2021/04/23,499.0
2021/04/24,499.0
2021/04/25,481.0
2021/04/26,464.0
2021/04/27,435.0
2021/04/28,450.0
2021/04/29,424.0
2021/04/30,412.0
2021/05/01,400.0
2021/05/02,409.0
2021/05/03,378.0
2021/05/04,353.0
2021/05/05,359.0
2021/05/06,344.0
2021/05/07,340.0
2021/05/08,343.0
2021/05/09,336.0
2021/05/10,324.0
2021/05/11,313.0
2021/05/12,295.0
2021/05/13,294.0
2021/05/14,272.0
2021/05/15,260.0
2021/05/16,256.0
2021/05/17,227.0
2021/05/18,230.0
2021/05/19,236.0
2021/05/20,222.0
2021/05/21,204.0
2021/05/22,185.0
2021/05/23,191.0
2021/05/24,172.0
2021/05/25,181.0
2021/05/26,177.0
2021/05/27,167.0
2021/05/28,164.0
2021/05/29,164.0
2021/05/30,158.0
2021/05/31,148.0
2021/06/01,141.0
2021/06/02,133.0
2021/06/03,126.0
2021/06/04,118.0
2021/06/05,115.0
2021/06/06,115.0
2021/06/07,113.0
2021/06/08,112.0
2021/06/09,119.0
2021/06/10,98.0
2021/06/11,88.0
2021/06/12,83.0
2021/06/13,92.0
2021/06/14,77.0
2021/06/15,71.0
2021/06/16,80.0
2021/06/17,81.0
2021/06/18,77.0
2021/06/19,76.0
2021/06/20,68.0
2021/06/21,66.0
2021/06/22,60.0
2021/06/23,67.0
2021/06/24,67.0
2021/06/25,75.0
2021/06/26,69.0
2021/06/27,62.0
2021/06/28,70.0
2021/06/29,74.0
2021/06/30,72.0
2021/07/01,69.0
2021/07/02,60.0
2021/07/03,57.0
2021/07/04,57.0
2021/07/05,53.0
2021/07/06,58.0
2021/07/07,63.0
2021/07/08,64.0
2021/07/09,60.0
2021/07/10,63.0
2021/07/11,68.0
2021/07/12,60.0
2021/07/13,64.0
2021/07/14,73.0
2021/07/15,74.0
2021/07/16,80.0
2021/07/17,81.0
2021/07/18,78.0
2021/07/19,69.0
2021/07/20,73.0
2021/07/21,91.0
2021/07/22,95.0
2021/07/23,106.0
2021/07/24,117.0
2021/07/25,124.0
2021/07/26,130.0
2021/07/27,136.0
2021/07/28,147.0
2021/07/29,165.0
2021/07/30,173.0
2021/07/31,181.0
2021/08/01,169.0
2021/08/02,186.0
2021/08/03,199.0
2021/08/04,217.0
2021/08/05,219.0
2021/08/06,220.0
2021/08/07,238.0
2021/08/08,244.0
2021/08/09,257.0
2021/08/10,261.0
2021/08/11,300.0
2021/08/12,303.0
2021/08/13,307.0
2021/08/14,328.0
2021/08/15,342.0
2021/08/16,341.0
2021/08/17,347.0
2021/08/18,350.0
2021/08/19,364.0
2021/08/20,375.0
2021/08/21,399.0
2021/08/22,401.0
2021/08/23,446.0
2021/08/24,450.0
2021/08/25,436.0
2021/08/26,450.0
2021/08/27,437.0
2021/08/28,453.0
2021/08/29,461.0
2021/08/30,443.0
2021/08/31,463.0
2021/09/01,448.0
2021/09/02,459.0
2021/09/03,455.0
2021/09/04,409.0
2021/09/05,439.0
2021/09/06,450.0
2021/09/07,468.0
2021/09/08,470.0
2021/09/09,470.0
2021/09/10,484.0
2021/09/11,490.0
2021/09/12,517.0
2021/09/13,543.0
2021/09/14,537.0
2021/09/15,539.0
2021/09/16,574.0
2021/09/17,558.0
2021/09/18,535.0
2021/09/19,517.0
2021/09/20,478.0
2021/09/21,471.0
2021/09/22,463.0
2021/09/23,475.0
2021/09/24,462.0
2021/09/25,453.0
2021/09/26,469.0
2021/09/27,482.0
2021/09/28,475.0
2021/09/29,456.0
2021/09/30,450.0
2021/10/01,468.0
2021/10/02,441.0
2021/10/03,423.0
2021/10/04,424.0
2021/10/05,439.0
2021/10/06,419.0
2021/10/07,417.0
2021/10/08,400.0
2021/10/09,398.0
2021/10/10,421.0
2021/10/11,401.0
2021/10/12,411.0
2021/10/13,435.0
2021/10/14,414.0
2021/10/15,386.0
2021/10/16,414.0
2021/10/17,448.0
2021/10/18,441.0
2021/10/19,424.0
2021/10/20,399.0
2021/10/21,391.0
2021/10/22,395.0
2021/10/23,398.0
2021/10/24,398.0
2021/10/25,411.0
2021/10/26,400.0
2021/10/27,393.0
2021/10/28,398.0
2021/10/29,381.0
2021/10/30,385.0
2021/10/31,399.0
2021/11/01,396.0
2021/11/02,385.0
2021/11/03,361.0
2021/11/04,362.0
2021/11/05,383.0
2021/11/06,373.0
2021/11/07,380.0
2021/11/08,376.0
2021/11/09,390.0
2021/11/10,408.0
2021/11/11,409.0
2021/11/12,425.0
2021/11/13,438.0
2021/11/14,446.0
2021/11/15,478.0
2021/11/16,525.0
2021/11/17,543.0
2021/11/18,556.0
2021/11/19,551.0
2021/11/20,559.0
2021/11/21,594.0
2021/11/22,596.0
2021/11/23,609.0
2021/11/24,628.0
2021/11/25,651.0
2021/11/26,668.0
2021/11/27,690.0
2021/11/28,695.0
2021/11/29,725.0
2021/11/30,765.0
2021/12/01,818.0
2021/12/02,849.0
2021/12/03,852.0
2021/12/04,885.0
2021/12/05,923.0
2021/12/06,918.0
2021/12/07,972.0
2021/12/08,990.0
2021/12/09,991.0
2021/12/10,1043.0
2021/12/11,1065.0
2021/12/12,1090.0
2021/12/13,1125.0
2021/12/14,1090.0
2021/12/15,1161.0
2021/12/16,1188.0
2021/12/17,1194.0
2021/12/18,1173.0
2021/12/19,1186.0
2021/12/20,1251.0
2021/12/21,1268.0
2021/12/22,1278.0
2021/12/23,1261.0
2021/12/24,1252.0
2021/12/25,1230.0
2021/12/26,1266.0
2021/12/27,1326.0
2021/12/28,1318.0
2021/12/29,1469.0
2021/12/30,1598.0
2021/12/31,1687.0
2022/01/01,1729.0
2022/01/02,1862.0
2022/01/03,1952.0
2022/01/04,2002.0
2022/01/05,2252.0
2022/01/06,2360.0
2022/01/07,2497.0
2022/01/08,2624.0
2022/01/09,2647.0
2022/01/10,2595.0
2022/01/11,2706.0
2022/01/12,2875.0
2022/01/13,2946.0
2022/01/14,3022.0
2022/01/15,2889.0
2022/01/16,2927.0
2022/01/17,2806.0
2022/01/18,2789.0
2022/01/19,2825.0
2022/01/20,2795.0
2022/01/21,2708.0
2022/01/22,2500.0
2022/01/23,2471.0
2022/01/24,2336.0
2022/01/25,2248.0
2022/01/26,2206.0
2022/01/27,2102.0
2022/01/28,1956.0
2022/01/29,1782.0
2022/01/30,1788.0
2022/01/31,1677.0
2022/02/01,1521.0
2022/02/02,1431.0
2022/02/03,1388.0
