Date,Case Number
2016-01-03,0.0
2016-01-10,2.0
2016-01-17,13.0
2016-01-24,5.0
2016-01-31,7.0
2016-02-07,3.0
2016-02-14,1.0
2016-02-21,0.0
2016-02-28,0.0
2016-03-06,2.0
2016-03-13,2.0
2016-03-20,1.0
2016-03-27,2.0
2016-04-03,2.0
2016-04-10,2.0
2016-04-17,2.0
2016-04-24,8.0
2016-05-01,15.0
2016-05-08,15.0
2016-05-15,8.0
2016-05-22,6.0
2016-05-29,2.0
2016-06-05,0.0
2016-06-12,3.0
2016-06-19,1.0
2016-06-26,3.0
2016-07-03,0.0
2016-07-10,1.0
2016-07-17,6.0
2016-07-24,0.0
2016-07-31,0.0
2016-08-07,0.0
2016-08-14,2.0
2016-08-21,3.0
2016-08-28,3.0
2016-09-04,8.0
2016-09-11,2.0
2016-09-18,0.0
2016-09-25,0.0
2016-10-02,0.0
2016-10-09,0.0
2016-10-16,0.0
2016-10-23,0.0
2016-10-30,0.0
2016-11-06,0.0
2016-11-13,0.0
2016-11-20,0.0
2016-11-27,0.0
2016-12-04,0.0
2016-12-11,0.0
2016-12-18,0.0
2016-12-25,0.0
2017-01-01,0.0
2017-01-08,1.0
2017-01-15,0.0
2017-01-22,0.0
2017-01-29,4.0
2017-02-05,13.0
2017-02-12,14.0
2017-02-19,10.0
2017-02-26,29.0
2017-03-05,37.0
2017-03-12,59.0
2017-03-19,44.0
2017-03-26,47.0
2017-04-02,102.0
2017-04-09,82.0
2017-04-16,60.0
2017-04-23,31.0
2017-04-30,39.0
2017-05-07,38.0
2017-05-14,14.0
2017-05-21,5.0
2017-05-28,7.0
2017-06-04,2.0
2017-06-11,0.0
2017-06-18,17.0
2017-06-25,12.0
2017-07-02,0.0
2017-07-09,3.0
2017-07-16,0.0
2017-07-23,1.0
2017-07-30,0.0
2017-08-06,14.0
