Date,Case Number
2016-01-03,2953.0
2016-01-10,3450.0
2016-01-17,4658.0
2016-01-24,5946.0
2016-01-31,6428.0
2016-02-07,5535.0
2016-02-14,4823.0
2016-02-21,3989.0
2016-02-28,3996.0
2016-03-06,3630.0
2016-03-13,2904.0
2016-03-20,2424.0
2016-03-27,3715.0
2016-04-03,3341.0
2016-04-10,3284.0
2016-04-17,3023.0
2016-04-24,2854.0
2016-05-01,2675.0
2016-05-08,2663.0
2016-05-15,2641.0
2016-05-22,2275.0
2016-05-29,2031.0
2016-06-05,1887.0
2016-06-12,1564.0
2016-06-19,1347.0
2016-06-26,1007.0
2016-07-03,1034.0
2016-07-10,836.0
2016-07-17,629.0
2016-07-24,595.0
2016-07-31,457.0
2016-08-07,412.0
2016-08-14,339.0
2016-08-21,296.0
2016-08-28,286.0
2016-09-04,247.0
2016-09-11,183.0
2016-09-18,201.0
2016-09-25,164.0
2016-10-02,183.0
2016-10-09,161.0
2016-10-16,161.0
2016-10-23,128.0
2016-10-30,143.0
2016-11-06,100.0
2016-11-13,108.0
2016-11-20,79.0
2016-11-27,100.0
2016-12-04,112.0
2016-12-11,85.0
2016-12-18,66.0
2016-12-25,48.0
2017-01-01,70.0
2017-01-08,59.0
2017-01-15,84.0
2017-01-22,84.0
2017-01-29,74.0
2017-02-05,75.0
2017-02-12,77.0
2017-02-19,75.0
2017-02-26,75.0
2017-03-05,63.0
2017-03-12,62.0
2017-03-19,41.0
2017-03-26,59.0
2017-04-02,45.0
2017-04-09,44.0
2017-04-16,55.0
2017-04-23,53.0
2017-04-30,41.0
2017-05-07,44.0
2017-05-14,51.0
2017-05-21,41.0
2017-05-28,42.0
2017-06-04,44.0
2017-06-11,42.0
2017-06-18,42.0
2017-06-25,44.0
2017-07-02,33.0
2017-07-09,52.0
2017-07-16,30.0
2017-07-23,44.0
2017-07-30,0.0
