Virus Family,Virus Genus,Virus Species,Region,Sub-region,Date,Type,Case Number,Comments
Flaviviridae,Flavivirus,DENV,America,San Juan,1990-05-06,Confirmed,4,
Flaviviridae,Flavivirus,DENV,America,San Juan,1990-05-13,Confirmed,5,
Flaviviridae,Flavivirus,DENV,America,San Juan,1990-05-20,Confirmed,4,
Flaviviridae,Flavivirus,DENV,America,San Juan,1990-05-27,Confirmed,3,
Flaviviridae,Flavivirus,DENV,America,San Juan,1990-06-03,Confirmed,6,
Flaviviridae,Flavivirus,DENV,America,San Juan,1990-06-10,Confirmed,2,
Flaviviridae,Flavivirus,DENV,America,San Juan,1990-06-17,Confirmed,4,
Flaviviridae,Flavivirus,DENV,America,San Juan,1990-06-24,Confirmed,5,
Flaviviridae,Flavivirus,DENV,America,San Juan,1990-07-01,Confirmed,10,
Flaviviridae,Flavivirus,DENV,America,San Juan,1990-07-08,Confirmed,6,
Flaviviridae,Flavivirus,DENV,America,San Juan,1990-07-15,Confirmed,8,
Flaviviridae,Flavivirus,DENV,America,San Juan,1990-07-22,Confirmed,2,
Flaviviridae,Flavivirus,DENV,America,San Juan,1990-07-29,Confirmed,6,
Flaviviridae,Flavivirus,DENV,America,San Juan,1990-08-05,Confirmed,17,
Flaviviridae,Flavivirus,DENV,America,San Juan,1990-08-12,Confirmed,23,
Flaviviridae,Flavivirus,DENV,America,San Juan,1990-08-19,Confirmed,13,
Flaviviridae,Flavivirus,DENV,America,San Juan,1990-08-26,Confirmed,21,
Flaviviridae,Flavivirus,DENV,America,San Juan,1990-09-02,Confirmed,28,
Flaviviridae,Flavivirus,DENV,America,San Juan,1990-09-09,Confirmed,24,
Flaviviridae,Flavivirus,DENV,America,San Juan,1990-09-16,Confirmed,20,
Flaviviridae,Flavivirus,DENV,America,San Juan,1990-09-23,Confirmed,40,
Flaviviridae,Flavivirus,DENV,America,San Juan,1990-09-30,Confirmed,27,
Flaviviridae,Flavivirus,DENV,America,San Juan,1990-10-07,Confirmed,42,
Flaviviridae,Flavivirus,DENV,America,San Juan,1990-10-14,Confirmed,33,
Flaviviridae,Flavivirus,DENV,America,San Juan,1990-10-21,Confirmed,43,
