,Country,Data as of,Case definition,Number of cases Cumulative,Number of cases in past 21 days,Number of deaths Cumulative
0,Liberia,2014-11-24, Probable,1771,,Not available
1,Liberia,2014-11-24, Suspected,2720,,Not available
2,Liberia,2014-11-24, Confirmed,2753,,Not available
3,Liberia,2014-11-24, Total,7244,,3029
4,Liberia,2014-11-28, Confirmed,2801,278,Data not available
5,Liberia,2014-11-28, Probable,1792,Not reported,Data not available
6,Liberia,2014-11-28, Suspected,3042,Not reported,Data not available
7,Liberia,2014-11-28, Confirmed,2801,,Not available
8,Liberia,2014-11-28, Total,7635,278,3145
9,Liberia,2014-11-28, Suspected,3042,,Not available
10,Liberia,2014-11-28, Total,7635,,3145
11,Liberia,2014-11-28, Total,7635,,3145
12,Liberia,2014-11-28, Suspected,3042,,Not available
13,Liberia,2014-11-28, Probable,1792,,Not available
14,Liberia,2014-11-28, Confirmed,2801,,Not available
15,Liberia,2014-11-28, Probable,1792,,Not available
16,Liberia,2014-11-29, Confirmed,2805,,Not available
17,Liberia,2014-11-29, Probable,1792,,Not available
18,Liberia,2014-11-29, Suspected,3053,,Not available
19,Liberia,2014-11-29, Total,7650,,3155
20,Liberia,2014-12-02, Total,7690,,3161
21,Liberia,2014-12-02, Suspected,3057,,Not available
22,Liberia,2014-12-02, Confirmed,2824,,Not available
23,Liberia,2014-12-02, Probable,1809,,Not available
24,Liberia,2014-12-03, Probable,1814,186,Not reported
25,Liberia,2014-12-03, Suspected,3075,441,Not reported
26,Liberia,2014-12-03, Total,7719,852,3177
27,Liberia,2014-12-03, Confirmed,2830,225,Not reported
28,Liberia,2014-12-03, Confirmed,2830,,Not available
29,Liberia,2014-12-03, Probable,1814,,Not available
30,Liberia,2014-12-03, Suspected,3075,,Not available
31,Liberia,2014-12-03, Total,7719,,3177
32,Liberia,2014-12-07, Confirmed,2869,,Not available
33,Liberia,2014-12-07, Total,7765,,3222
34,Liberia,2014-12-07, Suspected,3067,,Not available
35,Liberia,2014-12-07, Probable,1829,,Not available
36,Liberia,2014-12-07, Confirmed,2869,,Not available
37,Liberia,2014-12-07, Total,7765,,3222
38,Liberia,2014-12-07, Suspected,3067,,Not available
39,Liberia,2014-12-07, Probable,1829,,Not available
40,Liberia,2014-12-09, Total,7797,,3290
41,Liberia,2014-12-09, Suspected,3050,,Not available
42,Liberia,2014-12-09, Probable,1801,,Not available
43,Liberia,2014-12-09, Confirmed,2946,,Not available
44,Liberia,2014-12-09, Suspected,3050,Not reported,Data not available.
45,Liberia,2014-12-09, Probable,1801,Not reported,Data not available.
46,Liberia,2014-12-09, Confirmed,2946,185,Data not available.
47,Liberia,2014-12-09, Total,7797,185,3290
48,Liberia,2014-12-14, Confirmed,3021,,Not available
49,Liberia,2014-12-14, Probable,1764,,Not available
50,Liberia,2014-12-14, Suspected,3034,,Not available
51,Liberia,2014-12-14, Total,7819,,3346
