Virus Family,Virus Genus,Virus Species,Region,Sub-region,Date,Type,Case Number,Comments
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2014-11-25,Suspected,21,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2014-11-28,Suspected,24,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2014-11-30,Suspected,25,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2014-12-02,Suspected,27,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2014-12-03,Suspected,21,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2014-12-06,Suspected,28,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2014-12-07,Suspected,20,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2014-12-09,Suspected,29,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2014-12-10,Suspected,29,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2014-12-13,Suspected,16,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2014-12-14,Suspected,26,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2014-12-16,Suspected,27,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2014-12-20,Suspected,49,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2014-12-21,Suspected,50,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2014-12-24,Suspected,19,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2014-12-27,Suspected,36,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2014-12-28,Suspected,34,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2014-12-31,Suspected,19,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2015-01-03,Suspected,26,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2015-01-04,Suspected,22,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2015-01-05,Suspected,17,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2015-01-07,Suspected,18,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2015-01-10,Suspected,7,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2015-01-11,Suspected,8,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2015-01-12,Suspected,11,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2015-01-13,Suspected,12,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2015-01-17,Suspected,15,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2015-01-18,Suspected,13,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2015-01-19,Suspected,12,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2015-01-20,Suspected,9,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2015-01-24,Suspected,18,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2015-01-25,Suspected,16,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2015-01-26,Suspected,18,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2015-01-27,Suspected,13,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2015-01-31,Suspected,24,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2015-02-01,Suspected,20,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2015-02-02,Suspected,18,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2015-02-03,Suspected,11,
Filoviridae,Ebolavirus,Ebola Virus/ Sudan Virus/ Tai Forest Virus/ Bundibugyo Virus,Africa,Guinea,2015-02-07,Suspected,21,
