,Country,Data as of,Case definition,Number of cases Cumulative,Number of cases in past 21 days,Number of deaths Cumulative
0,Guinea,2014-11-25, Suspected,21,,0
1,Guinea,2014-11-25, Total,2123,,1284
2,Guinea,2014-11-25, Probable,210,,210
3,Guinea,2014-11-25, Confirmed,1892,,1074
4,Guinea,2014-11-28, Total,2155,,1312
5,Guinea,2014-11-28, Suspected,24,,0
6,Guinea,2014-11-28, Probable,210,,210
7,Guinea,2014-11-28, Confirmed,1921,,1102
8,Guinea,2014-11-30, Total,2164,306,1327
9,Guinea,2014-11-30, Suspected,25,Not reported,0
10,Guinea,2014-11-30, Probable,210,Not reported,210
11,Guinea,2014-11-30, Total,2164,,1327
12,Guinea,2014-11-30, Suspected,25,,0
13,Guinea,2014-11-30, Probable,210,,210
14,Guinea,2014-11-30, Confirmed,1929,,1117
15,Guinea,2014-11-30, Confirmed,1929,306,1117
16,Guinea,2014-12-02, Total,2186,,1349
17,Guinea,2014-12-02, Confirmed,1949,,1139
18,Guinea,2014-12-02, Probable,210,,210
19,Guinea,2014-12-02, Suspected,27,,0
20,Guinea,2014-12-03, Suspected,21,,0
21,Guinea,2014-12-03, Probable,215,,215
22,Guinea,2014-12-03, Confirmed,1956,,1151
23,Guinea,2014-12-03, Total,2192,,1366
24,Guinea,2014-12-06, Confirmed,2035,,1192
25,Guinea,2014-12-06, Suspected,28,,0
26,Guinea,2014-12-06, Probable,220,,220
27,Guinea,2014-12-06, Total,2283,,1412
28,Guinea,2014-12-07, Total,2292,511,1428
29,Guinea,2014-12-07, Suspected,20,177,0
30,Guinea,2014-12-07, Probable,221,13,221
31,Guinea,2014-12-07, Confirmed,2051,321,1207
32,Guinea,2014-12-09, Total,2339,,1454
33,Guinea,2014-12-09, Suspected,29,,0
34,Guinea,2014-12-09, Probable,229,,229
35,Guinea,2014-12-09, Confirmed,2081,,1225
36,Guinea,2014-12-10, Confirmed,2096,,1233
37,Guinea,2014-12-10, Probable,229,,229
38,Guinea,2014-12-10, Suspected,29,,0
39,Guinea,2014-12-10, Total,2354,,1462
40,Guinea,2014-12-13, Probable,263,,263
41,Guinea,2014-12-13, Confirmed,2115,,1255
42,Guinea,2014-12-13, Suspected,16,,0
43,Guinea,2014-12-13, Total,2394,,1518
44,Guinea,2014-12-14, Total,2416,249,1525
45,Guinea,2014-12-14, Suspected,26,Not reported,0
46,Guinea,2014-12-14, Probable,263,Not reported,263
47,Guinea,2014-12-14, Confirmed,2127,249,1262
48,Guinea,2014-12-16, Suspected,27,,0
49,Guinea,2014-12-16, Total,2453,,1550
50,Guinea,2014-12-16, Confirmed,2164,,1287
51,Guinea,2014-12-16, Probable,263,,263
52,Guinea,2014-12-20, Total,2571,,1586
53,Guinea,2014-12-20, Suspected,49,,0
54,Guinea,2014-12-20, Probable,263,,263
55,Guinea,2014-12-20, Confirmed,2259,,1323
56,Guinea,2014-12-21, Total,2597,328,1607
57,Guinea,2014-12-21, Suspected,50,,0
58,Guinea,2014-12-21, Probable,263,Not reported,263
59,Guinea,2014-12-21, Confirmed,2284,328,1344
60,Guinea,2014-12-21, Total,2597,,1607
61,Guinea,2014-12-21, Confirmed,2284,,1344
62,Guinea,2014-12-21, Probable,263,,263
63,Guinea,2014-12-21, Suspected,50,Not reported,0
64,Guinea,2014-12-24, Suspected,19,,0
65,Guinea,2014-12-24, Confirmed,2342,,1385
66,Guinea,2014-12-24, Probable,269,,269
67,Guinea,2014-12-24, Total,2630,,1654
68,Guinea,2014-12-27, Suspected,36,,0
69,Guinea,2014-12-27, Probable,275,,275
70,Guinea,2014-12-27, Confirmed,2384,,1422
71,Guinea,2014-12-27, Total,2695,,1697
72,Guinea,2014-12-28, Suspected,34,,0
73,Guinea,2014-12-28, Probable,275,,275
74,Guinea,2014-12-28, Confirmed,2397,,1433
75,Guinea,2014-12-28, Confirmed,2397,346,1433
76,Guinea,2014-12-28, Probable,276,Not reported,276
77,Guinea,2014-12-28, Suspected,34,Not reported,0
78,Guinea,2014-12-28, Total,2707,346,1709
79,Guinea,2014-12-28, Total,2706,,1708
80,Guinea,2014-12-31, Total,2730,,1739
81,Guinea,2014-12-31, Suspected,19,,0
82,Guinea,2014-12-31, Probable,276,,276
83,Guinea,2014-12-31, Confirmed,2435,,1463
84,Guinea,2015-01-03, Probable,280,,280
85,Guinea,2015-01-03, Suspected,26,,0
86,Guinea,2015-01-03, Total,2769,,1767
87,Guinea,2015-01-03, Confirmed,2465,,1488
88,Guinea,2015-01-04, Suspected,22,Not reported,0
89,Guinea,2015-01-04, Confirmed,2471,,1499
90,Guinea,2015-01-04, Suspected,22,,0
91,Guinea,2015-01-04, Probable,282,,282
92,Guinea,2015-01-04, Total,2775,344,1781
93,Guinea,2015-01-04, Total,2775,,1781
94,Guinea,2015-01-04, Probable,282,Not reported,282
95,Guinea,2015-01-04, Confirmed,2471,344,1499
96,Guinea,2015-01-05, Suspected,17,,Not available
97,Guinea,2015-01-05, Total,2776,,1786
98,Guinea,2015-01-05, Confirmed,2477,,1504
99,Guinea,2015-01-05, Probable,282,,282
100,Guinea,2015-01-07, Confirmed,2493,,1515
101,Guinea,2015-01-07, Suspected,18,,Not available
102,Guinea,2015-01-07, Probable,282,,282
103,Guinea,2015-01-07, Total,2793,,1797
104,Guinea,2015-01-10, Total,2799,,1807
105,Guinea,2015-01-10, Confirmed,2508,,1523
106,Guinea,2015-01-10, Probable,284,,284
107,Guinea,2015-01-10, Suspected,7,,Not available
108,Guinea,2015-01-10, Probable,284,,284
109,Guinea,2015-01-10, Suspected,7,,Not available
110,Guinea,2015-01-10, Confirmed,2508,,1523
111,Guinea,2015-01-10, Total,2799,,1807
112,Guinea,2015-01-11, Probable,284,Not reported,284
113,Guinea,2015-01-11, Suspected,8,Not reported,Data not available. 
