Date,Case Number
2016-01-03,8197.0
2016-01-10,8349.0
2016-01-17,9499.0
2016-01-24,10488.0
2016-01-31,12964.0
2016-02-07,15157.0
2016-02-14,21272.0
2016-02-21,20858.0
2016-02-28,20106.0
2016-03-06,17524.0
2016-03-13,15656.0
2016-03-20,12810.0
2016-03-27,12715.0
2016-04-03,11261.0
2016-04-10,9997.0
2016-04-17,8404.0
2016-04-24,7415.0
2016-05-01,6147.0
2016-05-08,4998.0
2016-05-15,4119.0
2016-05-22,2998.0
2016-05-29,2930.0
2016-06-05,2512.0
2016-06-12,1894.0
2016-06-19,1549.0
2016-06-26,1336.0
2016-07-03,1130.0
2016-07-10,1021.0
2016-07-17,908.0
2016-07-24,785.0
2016-07-31,694.0
2016-08-07,628.0
2016-08-14,530.0
2016-08-21,507.0
2016-08-28,413.0
2016-09-04,349.0
2016-09-11,378.0
2016-09-18,294.0
2016-09-25,294.0
2016-10-02,328.0
2016-10-09,258.0
2016-10-16,349.0
2016-10-23,383.0
2016-10-30,330.0
2016-11-06,378.0
2016-11-13,276.0
2016-11-20,349.0
2016-11-27,383.0
2016-12-04,330.0
2016-12-11,240.0
2016-12-18,158.0
2016-12-25,108.0
2017-01-01,741.0
2017-01-08,815.0
2017-01-15,875.0
2017-01-22,987.0
2017-01-29,1004.0
2017-02-05,1064.0
2017-02-12,1004.0
2017-02-19,752.0
2017-02-26,941.0
2017-03-05,1004.0
2017-03-12,987.0
2017-03-19,974.0
2017-03-26,941.0
2017-04-02,897.0
2017-04-09,768.0
2017-04-16,752.0
2017-04-23,726.0
2017-04-30,690.0
2017-05-07,470.0
2017-05-14,356.0
2017-05-21,155.0
2017-05-28,61.0
