,Pandemic,Region,Year,Country,Domain,Sub-Domain,LoS_mean,LoS_low,LoS_high,mortality_rate,hopitalization_rate_mean,hopitalization_rate_low,hopitalization_rate_high,R0_mean,R0_low,R0_high,Object_Transmit,Blood_Transmit,Airborne,Vector_Transmit,Droplets_Transmit,latent_period_mean,latent_period_low,latent_period_high,incubation_period_mean,incubation_period_low,incubation_period_high,average_time_to_death_mean,average_time_to_death_low,average_time_to_death_high,average_time_to_discharge_mean,average_time_to_discharge_low,average_time_to_discharge_high
0,Covid-19,EMRO,2020,Afghanistan,,,,8.26,15.6,0.011,0.048,0.004,0.092,,1.4,6.49,1,0,1,0,1,5.5,5.1,5.9,6.9,6.3,7.5,,2.0,10.0,,,
1,Covid-19,EURO,2020,Albania,,,,9.03,21.59,0.011,0.048,0.004,0.092,,1.4,6.49,1,0,1,0,1,5.5,5.1,5.9,6.9,6.3,7.5,,2.0,10.0,,,
2,Covid-19,AFRO,2020,Algeria,,,,1.0,22.76,0.011,0.048,0.004,0.092,,1.4,6.49,1,0,1,0,1,5.5,5.1,5.9,6.9,6.3,7.5,,2.0,10.0,,,
3,Covid-19,WPRO,2020,American Samoa,,,,15.7,21.12,0.011,0.048,0.004,0.092,,1.4,6.49,1,0,1,0,1,5.5,5.1,5.9,6.9,6.3,7.5,,2.0,10.0,,,
4,Covid-19,EURO,2020,Andorra,,,,9.03,21.59,0.011,0.048,0.004,0.092,,1.4,6.49,1,0,1,0,1,5.5,5.1,5.9,6.9,6.3,7.5,,2.0,10.0,,,
5,Covid-19,AFRO,2020,Angola,,,,1.0,22.76,0.011,0.048,0.004,0.092,,1.4,6.49,1,0,1,0,1,5.5,5.1,5.9,6.9,6.3,7.5,,2.0,10.0,,,
6,Covid-19,AMRO,2020,Anguilla,,,,11.45,26.91,0.011,0.048,0.004,0.092,,1.4,6.49,1,0,1,0,1,5.5,5.1,5.9,6.9,6.3,7.5,,2.0,10.0,,,
7,Covid-19,AMRO,2020,Antigua and Barbuda,,,,11.45,26.91,0.011,0.048,0.004,0.092,,1.4,6.49,1,0,1,0,1,5.5,5.1,5.9,6.9,6.3,7.5,,2.0,10.0,,,
8,Covid-19,AMRO,2020,Argentina,,,,11.45,26.91,0.011,0.048,0.004,0.092,,1.4,6.49,1,0,1,0,1,5.5,5.1,5.9,6.9,6.3,7.5,,2.0,10.0,,,
9,Covid-19,EURO,2020,Armenia,,,,9.03,21.59,0.011,0.048,0.004,0.092,,1.4,6.49,1,0,1,0,1,5.5,5.1,5.9,6.9,6.3,7.5,,2.0,10.0,,,
