Microbe Family,Microbe Genus,Microbe Species,Region,Country,Domain,Sub-Domain,date,type,number
Flaviviridae,Flavivirus,DENV,AMRO,Puerto Rico,San Juan,,1990-05-06,Cases,4
Flaviviridae,Flavivirus,DENV,AMRO,Puerto Rico,San Juan,,1990-05-13,Cases,5
Flaviviridae,Flavivirus,DENV,AMRO,Puerto Rico,San Juan,,1990-05-20,Cases,4
Flaviviridae,Flavivirus,DENV,AMRO,Puerto Rico,San Juan,,1990-05-27,Cases,3
Flaviviridae,Flavivirus,DENV,AMRO,Puerto Rico,San Juan,,1990-06-03,Cases,6
Flaviviridae,Flavivirus,DENV,AMRO,Puerto Rico,San Juan,,1990-06-10,Cases,2
Flaviviridae,Flavivirus,DENV,AMRO,Puerto Rico,San Juan,,1990-06-17,Cases,4
Flaviviridae,Flavivirus,DENV,AMRO,Puerto Rico,San Juan,,1990-06-24,Cases,5
Flaviviridae,Flavivirus,DENV,AMRO,Puerto Rico,San Juan,,1990-07-01,Cases,10
Flaviviridae,Flavivirus,DENV,AMRO,Puerto Rico,San Juan,,1990-07-08,Cases,6
Flaviviridae,Flavivirus,DENV,AMRO,Puerto Rico,San Juan,,1990-07-15,Cases,8
Flaviviridae,Flavivirus,DENV,AMRO,Puerto Rico,San Juan,,1990-07-22,Cases,2
Flaviviridae,Flavivirus,DENV,AMRO,Puerto Rico,San Juan,,1990-07-29,Cases,6
Flaviviridae,Flavivirus,DENV,AMRO,Puerto Rico,San Juan,,1990-08-05,Cases,17
Flaviviridae,Flavivirus,DENV,AMRO,Puerto Rico,San Juan,,1990-08-12,Cases,23
Flaviviridae,Flavivirus,DENV,AMRO,Puerto Rico,San Juan,,1990-08-19,Cases,13
Flaviviridae,Flavivirus,DENV,AMRO,Puerto Rico,San Juan,,1990-08-26,Cases,21
Flaviviridae,Flavivirus,DENV,AMRO,Puerto Rico,San Juan,,1990-09-02,Cases,28
Flaviviridae,Flavivirus,DENV,AMRO,Puerto Rico,San Juan,,1990-09-09,Cases,24
Flaviviridae,Flavivirus,DENV,AMRO,Puerto Rico,San Juan,,1990-09-16,Cases,20
Flaviviridae,Flavivirus,DENV,AMRO,Puerto Rico,San Juan,,1990-09-23,Cases,40
Flaviviridae,Flavivirus,DENV,AMRO,Puerto Rico,San Juan,,1990-09-30,Cases,27
Flaviviridae,Flavivirus,DENV,AMRO,Puerto Rico,San Juan,,1990-10-07,Cases,42
