Microbe Family,Microbe Genus,Microbe Species,Region,Country,State/City,date,type,number
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2000-07-02,Cases,0
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2000-07-09,Cases,0
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2000-07-16,Cases,0
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2000-07-23,Cases,0
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2000-07-30,Cases,0
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2000-08-06,Cases,0
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2000-08-13,Cases,0
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2000-08-20,Cases,0
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2000-08-27,Cases,0
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2000-09-03,Cases,0
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2000-09-10,Cases,1
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2000-09-17,Cases,0
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2000-09-24,Cases,0
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2000-10-01,Cases,0
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2000-10-08,Cases,0
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2000-10-15,Cases,1
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2000-10-22,Cases,1
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2000-10-29,Cases,0
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2000-11-05,Cases,0
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2000-11-12,Cases,0
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2000-11-19,Cases,0
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2000-11-26,Cases,0
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2000-12-03,Cases,0
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2000-12-10,Cases,0
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2000-12-17,Cases,1
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2000-12-24,Cases,0
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-01-07,Cases,0
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-01-14,Cases,0
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-01-21,Cases,0
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-01-28,Cases,0
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-02-04,Cases,0
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-02-11,Cases,0
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-02-18,Cases,0
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-02-25,Cases,0
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-03-04,Cases,0
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-03-11,Cases,0
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-03-18,Cases,0
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2001-03-25,Cases,0
