Virus,Region,Sub-region,Date,Type,Case Number,Comments
Ebolavirus,Africa, Guinea,2014-03-25,Confirmed,86,
Ebolavirus,Africa, Guinea,2014-03-25,Deaths,59,
Ebolavirus,Africa, Guinea,2014-03-26,Confirmed,86,
Ebolavirus,Africa, Guinea,2014-03-26,Deaths,60,
Ebolavirus,Africa, Guinea,2014-03-27,Confirmed,103,
Ebolavirus,Africa, Guinea,2014-03-27,Deaths,66,
Ebolavirus,Africa, Guinea,2014-03-31,Confirmed,112,
Ebolavirus,Africa, Guinea,2014-03-31,Deaths,70,
Ebolavirus,Africa, Guinea,2014-04-01,Confirmed,122,
Ebolavirus,Africa, Guinea,2014-04-01,Deaths,80,
Ebolavirus,Africa, Guinea,2014-04-02,Confirmed,127,
Ebolavirus,Africa, Guinea,2014-04-02,Deaths,83,
Ebolavirus,Africa, Guinea,2014-04-07,Confirmed,151,
Ebolavirus,Africa, Guinea,2014-04-07,Deaths,95,
Ebolavirus,Africa, Guinea,2014-04-10,Confirmed,157,
Ebolavirus,Africa, Guinea,2014-04-10,Deaths,101,
Ebolavirus,Africa, Guinea,2014-04-17,Confirmed,197,
Ebolavirus,Africa, Guinea,2014-04-17,Deaths,122,
Ebolavirus,Africa, Guinea,2014-04-21,Confirmed,203,
Ebolavirus,Africa, Guinea,2014-04-21,Deaths,129,
Ebolavirus,Africa, Guinea,2014-04-23,Confirmed,208,
Ebolavirus,Africa, Guinea,2014-04-23,Deaths,136,
Ebolavirus,Africa, Guinea,2014-04-30,Confirmed,221,
Ebolavirus,Africa, Guinea,2014-04-30,Deaths,146,
Ebolavirus,Africa, Guinea,2014-05-05,Confirmed,231,
Ebolavirus,Africa, Guinea,2014-05-05,Deaths,155,
Ebolavirus,Africa, Guinea,2014-05-14,Confirmed,233,
Ebolavirus,Africa, Guinea,2014-05-14,Deaths,157,
Ebolavirus,Africa, Guinea,2014-05-23,Confirmed,258,
Ebolavirus,Africa, Guinea,2014-05-23,Deaths,174,
Ebolavirus,Africa, Guinea,2014-05-27,Confirmed,258,
Ebolavirus,Africa, Guinea,2014-05-27,Deaths,174,
Ebolavirus,Africa, Guinea,2014-05-28,Confirmed,281,
Ebolavirus,Africa, Guinea,2014-05-28,Deaths,186,
Ebolavirus,Africa, Guinea,2014-06-02,Confirmed,291,
Ebolavirus,Africa, Guinea,2014-06-02,Deaths,193,
Ebolavirus,Africa, Guinea,2014-06-05,Confirmed,344,
Ebolavirus,Africa, Guinea,2014-06-05,Deaths,215,
Ebolavirus,Africa, Guinea,2014-06-10,Confirmed,372,
Ebolavirus,Africa, Guinea,2014-06-10,Deaths,236,
Ebolavirus,Africa, Guinea,2014-06-11,Confirmed,376,
Ebolavirus,Africa, Guinea,2014-06-11,Deaths,241,
Ebolavirus,Africa, Guinea,2014-06-18,Confirmed,398,
Ebolavirus,Africa, Guinea,2014-06-18,Deaths,264,
Ebolavirus,Africa, Guinea,2014-06-24,Confirmed,390,
Ebolavirus,Africa, Guinea,2014-06-24,Deaths,270,
Ebolavirus,Africa, Guinea,2014-07-02,Confirmed,413,
Ebolavirus,Africa, Guinea,2014-07-02,Deaths,303,
Ebolavirus,Africa, Guinea,2014-07-07,Confirmed,412,
Ebolavirus,Africa, Guinea,2014-07-07,Deaths,305,
Ebolavirus,Africa, Guinea,2014-07-08,Confirmed,408,
Ebolavirus,Africa, Guinea,2014-07-08,Deaths,307,
Ebolavirus,Africa, Guinea,2014-07-14,Confirmed,409,
