date,Sierra_Leone_Ebola_Confirmed_Case_Number
2014-03-26,0.0
2014-03-27,6.0
2014-04-01,0.0
2014-04-02,0.0
2014-04-07,0.0
2014-04-10,0.0
2014-04-17,0.0
2014-04-21,0.0
2014-04-23,0.0
2014-04-30,0.0
2014-05-05,0.0
2014-05-14,0.0
2014-05-23,0.0
2014-05-27,1.0
2014-05-28,15.0
2014-06-02,34.0
2014-06-05,31.0
2014-06-10,8.0
2014-06-11,28.0
2014-06-24,61.0
2014-07-02,81.0
2014-07-07,13.0
2014-07-08,53.0
2014-07-14,32.0
2014-07-16,49.0
2014-07-21,56.0
2014-07-24,12.0
2014-07-28,71.0
2014-07-31,8.0
2014-08-03,41.0
2014-08-04,72.0
2014-08-08,71.0
2014-08-12,13.0
2014-08-13,53.0
2014-08-15,27.0
2014-08-19,38.0
2014-08-21,59.0
2014-08-22,3.0
2014-08-28,116.0
2014-09-06,235.0
2014-09-08,100.0
2014-09-12,63.0
2014-09-16,196.0
2014-09-18,53.0
2014-09-22,140.0
2014-09-24,127.0
2014-09-26,81.0
2014-10-01,283.0
2014-10-03,133.0
2014-10-08,352.0
2014-10-10,161.0
2014-10-15,302.0
2014-10-17,158.0
2014-10-22,296.0
2014-10-25,190.0
2014-10-29,1339.0
2014-10-31,103.0
2014-11-07,103.0
2014-11-12,506.0
2014-11-14,218.0
2014-11-19,487.0
2014-11-21,117.0
2014-11-26,409.0
2014-11-28,510.0
2014-12-03,203.0
2014-12-10,585.0
2014-12-17,459.0
2014-12-24,648.0
2014-12-31,442.0
2015-01-07,334.0
2015-01-14,344.0
2015-01-21,216.0
2015-01-28,178.0
2015-02-04,222.0
2015-02-11,194.0
2015-02-18,169.0
2015-02-25,198.0
2015-03-04,165.0
2015-03-11,153.0
2015-03-18,132.0
2015-03-25,90.0
2015-03-26,25.0
2015-03-27,23.0
2015-03-30,54.0
2015-03-31,31.0
2015-04-01,0.0
2015-04-02,48.0
2015-04-07,117.0
2015-04-09,17.0
2015-04-10,15.0
2015-04-13,18.0
2015-04-14,13.0
2015-04-15,0.0
2015-04-16,22.0
2015-04-17,21.0
2015-04-18,12.0
2015-04-19,11.0
2015-04-21,38.0
2015-04-22,19.0
2015-04-24,49.0
2015-04-26,9.0
2015-04-28,16.0
2015-04-29,11.0
2015-05-02,28.0
2015-05-03,14.0
2015-05-03,0.0
2015-05-05,30.0
2015-05-06,22.0
2015-05-09,27.0
2015-05-10,4.0
2015-05-12,13.0
2015-05-13,4.0
2015-05-16,53.0
2015-05-19,63.0
2015-05-20,10.0
2015-05-24,40.0
2015-05-26,29.0
2015-05-27,10.0
2015-05-30,71.0
2015-05-31,11.0
2015-06-04,23.0
2015-06-05,9.0
2015-06-06,25.0
2015-06-07,17.0
2015-06-09,10.0
2015-06-10,21.0
2015-06-13,30.0
2015-06-14,3.0
2015-06-16,25.0
2015-06-17,22.0
2015-06-21,47.0
2015-06-23,24.0
2015-06-24,10.0
2015-06-29,22.0
2015-06-30,14.0
2015-07-03,16.0
2015-07-04,15.0
2015-07-05,5.0
2015-07-08,0.0
2015-07-09,14.0
2015-07-10,8.0
2015-07-13,24.0
2015-07-14,8.0
2015-07-15,0.0
2015-07-16,0.0
2015-07-17,0.0
2015-07-20,32.0
2015-07-21,9.0
2015-07-22,0.0
2015-07-23,12.0
2015-07-24,2.0
2015-07-27,20.0
2015-07-28,7.0
2015-07-30,89.0
2015-07-31,8.0
2015-08-03,15.0
2015-08-04,4.0
2015-08-05,0.0
2015-08-06,20.0
2015-08-07,2.0
2015-08-10,37.0
2015-08-11,5.0
2015-08-13,14.0
2015-08-14,1.0
2015-08-17,4.0
2015-08-18,5.0
2015-08-20,24.0
2015-08-21,15.0
2015-08-24,5.0
2015-08-25,3.0
2015-08-27,41.0
2015-08-28,4.0
2015-08-31,17.0
2015-09-01,6.0
2015-09-03,29.0
2015-09-04,1.0
2015-09-08,44.0
2015-09-10,14.0
2015-09-11,4.0
2015-09-14,46.0
2015-09-15,9.0
2015-09-18,212.0
2015-09-21,26.0
2015-09-22,12.0
2015-09-24,23.0
2015-09-28,48.0
2015-09-29,17.0
2015-10-01,17.0
2015-10-02,3.0
2015-10-05,10.0
2015-10-07,4.0
2015-10-08,11.0
2015-10-09,1.0
2015-10-12,21.0
2015-10-13,4.0
2015-10-15,10.0
2015-10-16,0.0
2015-10-19,7.0
2015-10-20,2.0
2015-10-22,30.0
2015-10-23,7.0
2015-10-26,14.0
2015-10-27,9.0
2015-10-29,5.0
2015-10-30,1.0
2015-11-02,11.0
2015-11-03,11.0
2015-11-05,15.0
2015-11-06,5.0
2015-11-09,13.0
2015-11-10,0.0
2015-11-12,0.0
2015-11-16,0.0
2015-11-17,0.0
2015-11-18,0.0
2015-11-19,0.0
2015-11-20,0.0
2015-11-23,0.0
2015-11-24,0.0
2015-11-25,0.0
2015-11-26,0.0
2015-11-27,0.0
2015-11-30,0.0
2015-12-01,0.0
2015-12-02,0.0
2015-12-03,0.0
2015-12-04,0.0
2015-12-07,0.0
2015-12-08,0.0
2015-12-09,0.0
2015-12-10,0.0
2015-12-11,0.0
2015-12-14,0.0
2015-12-15,0.0
2015-12-16,0.0
2015-12-17,0.0
2015-12-18,0.0
2015-12-21,0.0
2015-12-22,0.0
2015-12-23,0.0
2015-12-24,0.0
2015-12-25,0.0
2015-12-28,0.0
2015-12-29,0.0
2015-12-30,0.0
2016-01-06,0.0
2016-01-13,0.0
2016-01-20,1.0
2016-01-27,1.0
2016-02-03,0.0
2016-02-10,0.0
2016-02-17,0.0
2016-03-03,0.0
2016-03-23,0.0
2016-03-30,0.0
2016-04-13,0.0
