,Country,Data as of,Case definition,Number of cases Cumulative,Number of cases in past 21 days,Number of deaths Cumulative
0,Sierra Leone,2014-11-25, Probable,79,,174
1,Sierra Leone,2014-11-25, Total,6802,,1463
2,Sierra Leone,2014-11-25, Suspected,1128,,35
3,Sierra Leone,2014-11-25, Confirmed,5595,,1254
4,Sierra Leone,2014-11-28, Confirmed,5831,,1321
5,Sierra Leone,2014-11-28, Probable,79,,174
6,Sierra Leone,2014-11-28, Suspected,1199,,35
7,Sierra Leone,2014-11-28, Total,7109,,1530
8,Sierra Leone,2014-11-30, Confirmed,5978,,1374
9,Sierra Leone,2014-11-30, Probable,79,,174
10,Sierra Leone,2014-11-30, Suspected,1255,,35
11,Sierra Leone,2014-11-30, Total,7312,,1583
12,Sierra Leone,2014-11-30, Total,7312,1455,1583
13,Sierra Leone,2014-11-30, Suspected,1255,Not reported,35
14,Sierra Leone,2014-11-30, Probable,79,Not reported,174
15,Sierra Leone,2014-11-30, Confirmed,5978,1455,1374
16,Sierra Leone,2014-12-01, Suspected,1302,,35
17,Sierra Leone,2014-12-01, Probable,79,,174
18,Sierra Leone,2014-12-01, Confirmed,6039,,1400
19,Sierra Leone,2014-12-01, Total,7420,,1609
20,Sierra Leone,2014-12-03, Probable,79,,174
21,Sierra Leone,2014-12-03, Suspected,1355,,35
22,Sierra Leone,2014-12-03, Total,7635,,1660
23,Sierra Leone,2014-12-03, Confirmed,6201,,1451
24,Sierra Leone,2014-12-06, Probable,79,,174
25,Sierra Leone,2014-12-06, Confirmed,6317,,1533
26,Sierra Leone,2014-12-06, Total,7798,,1742
27,Sierra Leone,2014-12-06, Suspected,1402,,35
28,Sierra Leone,2014-12-07, Probable,79,0,174
29,Sierra Leone,2014-12-07, Suspected,1443,505,35
30,Sierra Leone,2014-12-07, Confirmed,6375,1319,1559
31,Sierra Leone,2014-12-07, Total,7897,1824,1768
32,Sierra Leone,2014-12-09, Confirmed,6457,,1648
33,Sierra Leone,2014-12-09, Total,8014,,1857
34,Sierra Leone,2014-12-09, Probable,79,,174
35,Sierra Leone,2014-12-09, Suspected,1478,,35
36,Sierra Leone,2014-12-10, Probable,79,,174
37,Sierra Leone,2014-12-10, Suspected,1493,,35
38,Sierra Leone,2014-12-10, Total,8069,,1899
39,Sierra Leone,2014-12-10, Confirmed,6497,,1690
40,Sierra Leone,2014-12-13, Total,8273,,2033
41,Sierra Leone,2014-12-13, Confirmed,6638,,1824
42,Sierra Leone,2014-12-13, Probable,79,,174
43,Sierra Leone,2014-12-13, Suspected,1556,,35
44,Sierra Leone,2014-12-14, Suspected,1575,Not reported,35
45,Sierra Leone,2014-12-14, Probable,79,Not reported,174
46,Sierra Leone,2014-12-14, Confirmed,6702,1261,1876
47,Sierra Leone,2014-12-14, Total,8356,1261,2085
48,Sierra Leone,2014-12-17, Confirmed,6856,,2111
49,Sierra Leone,2014-12-17, Probable,287,,208
50,Sierra Leone,2014-12-17, Suspected,1616,,158
51,Sierra Leone,2014-12-17, Total,8759,,2477
52,Sierra Leone,2014-12-20, Confirmed,6975,,2190
53,Sierra Leone,2014-12-20, Probable,287,,208
54,Sierra Leone,2014-12-20, Suspected,1677,,158
55,Sierra Leone,2014-12-20, Total,8939,,2556
56,Sierra Leone,2014-12-21, Probable,287,,208
57,Sierra Leone,2014-12-21, Total,9004,1039,2582
58,Sierra Leone,2014-12-21, Confirmed,7017,,2216
59,Sierra Leone,2014-12-21, Suspected,1700,,158
60,Sierra Leone,2014-12-21, Total,9004,,2582
61,Sierra Leone,2014-12-21, Probable,287,Not reported,208
62,Sierra Leone,2014-12-21, Confirmed,7017,1039,2216
63,Sierra Leone,2014-12-21, Suspected,1700,Not reported,158
64,Sierra Leone,2014-12-24, Probable,287,,208
65,Sierra Leone,2014-12-24, Suspected,1756,,158
66,Sierra Leone,2014-12-24, Confirmed,7160,,2289
67,Sierra Leone,2014-12-24, Total,9203,,2655
68,Sierra Leone,2014-12-27, Probable,287,,208
69,Sierra Leone,2014-12-27, Confirmed,7326,,2366
70,Sierra Leone,2014-12-27, Total,9409,,2732
71,Sierra Leone,2014-12-27, Suspected,1796,,158
72,Sierra Leone,2014-12-28, Probable,287,Not reported,208
73,Sierra Leone,2014-12-28, Confirmed,7354,979,2392
74,Sierra Leone,2014-12-28, Total,9446,979,2758
75,Sierra Leone,2014-12-28, Probable,287,,208
76,Sierra Leone,2014-12-28, Suspected,1805,Not reported,158
77,Sierra Leone,2014-12-28, Suspected,1805,,158
78,Sierra Leone,2014-12-28, Total,9446,,2758
79,Sierra Leone,2014-12-28, Confirmed,7354,,2392
80,Sierra Leone,2014-12-31, Probable,287,,208
81,Sierra Leone,2014-12-31, Total,9633,,2827
82,Sierra Leone,2014-12-31, Confirmed,7476,,2461
83,Sierra Leone,2014-12-31, Suspected,1870,,158
84,Sierra Leone,2015-01-03, Confirmed,7570,,2549
85,Sierra Leone,2015-01-03, Probable,287,,208
86,Sierra Leone,2015-01-03, Suspected,1915,,158
87,Sierra Leone,2015-01-03, Total,9772,,2915
88,Sierra Leone,2015-01-04, Probable,287,,208
89,Sierra Leone,2015-01-04, Confirmed,7602,,2577
90,Sierra Leone,2015-01-04, Total,9780,900,2943
91,Sierra Leone,2015-01-04, Total,9780,,2943
92,Sierra Leone,2015-01-04, Suspected,1891,Not reported,158
93,Sierra Leone,2015-01-04, Probable,287,Not reported,208
94,Sierra Leone,2015-01-04, Confirmed,7602,900,2577
95,Sierra Leone,2015-01-04, Suspected,1891,,158
96,Sierra Leone,2015-01-06, Total,10 030,,2977
97,Sierra Leone,2015-01-06, Confirmed,7759,,2611
98,Sierra Leone,2015-01-06, Probable,287,,208
99,Sierra Leone,2015-01-06, Suspected,1984,,158
100,Sierra Leone,2015-01-06, Confirmed,7759,,2611
101,Sierra Leone,2015-01-06, Probable,287,,208
102,Sierra Leone,2015-01-06, Suspected,1984,,158
103,Sierra Leone,2015-01-06, Total,10 030,,2977
104,Sierra Leone,2015-01-10, Total,10 094,,3049
105,Sierra Leone,2015-01-10, Confirmed,7766,,2683
106,Sierra Leone,2015-01-10, Probable,287,,208
107,Sierra Leone,2015-01-10, Probable,287,,208
108,Sierra Leone,2015-01-10, Confirmed,7766,,2683
109,Sierra Leone,2015-01-10, Suspected,2041,,158
110,Sierra Leone,2015-01-10, Total,10 094,,3049
111,Sierra Leone,2015-01-10, Suspected,2041,,158
112,Sierra Leone,2015-01-11, Confirmed,7786,769,2696
113,Sierra Leone,2015-01-11, Probable,287,Not reported,208
114,Sierra Leone,2015-01-11, Suspected,2051,Not reported,158
115,Sierra Leone,2015-01-11, Total,10 124,769,3062
116,Sierra Leone,2015-01-12, Suspected,2061,,158
117,Sierra Leone,2015-01-12, Total,10 150,,3067
118,Sierra Leone,2015-01-12, Confirmed,7802,,2701
119,Sierra Leone,2015-01-12, Probable,287,,208
120,Sierra Leone,2015-01-13, Confirmed,7825,,2717
121,Sierra Leone,2015-01-13, Probable,287,,208
122,Sierra Leone,2015-01-13, Suspected,2074,,158
123,Sierra Leone,2015-01-13, Total,10 186,,3083
124,Sierra Leone,2015-01-17, Suspected,2136,,158
125,Sierra Leone,2015-01-17, Total,10 306,,3132
126,Sierra Leone,2015-01-17, Probable,287,,208
127,Sierra Leone,2015-01-17, Confirmed,7883,,2766
128,Sierra Leone,2015-01-18, Probable,287,,208
129,Sierra Leone,2015-01-18, Confirmed,7903,,2779
130,Sierra Leone,2015-01-18, Total,10 340,,3145
131,Sierra Leone,2015-01-18, Total,10 340,549,3145
132,Sierra Leone,2015-01-18, Suspected,2150,Not reported,158
133,Sierra Leone,2015-01-18, Probable,287,Not reported,208
134,Sierra Leone,2015-01-18, Confirmed,7903,549,2779
135,Sierra Leone,2015-01-18, Suspected,2150,,158
136,Sierra Leone,2015-01-19, Probable,287,,208
137,Sierra Leone,2015-01-19, Total,10 362,,3153
138,Sierra Leone,2015-01-19, Confirmed,7909,,2787
139,Sierra Leone,2015-01-19, Suspected,2166,,158
140,Sierra Leone,2015-01-20, Probable,287,,208
141,Sierra Leone,2015-01-20, Suspected,2192,,158
142,Sierra Leone,2015-01-20, Total,10 400,,3159
143,Sierra Leone,2015-01-20, Confirmed,7921,,2793
144,Sierra Leone,2015-01-24, Suspected,2241,,158
145,Sierra Leone,2015-01-24, Total,10 491,,3195
146,Sierra Leone,2015-01-24, Confirmed,7963,,2829
147,Sierra Leone,2015-01-24, Probable,287,,208
148,Sierra Leone,2015-01-25, Suspected,2263,Not reported,158
149,Sierra Leone,2015-01-25, Probable,287,,208
150,Sierra Leone,2015-01-25, Confirmed,7968,,2833
151,Sierra Leone,2015-01-25, Suspected,2263,,158
152,Sierra Leone,2015-01-25, Total,10 518,,3199
153,Sierra Leone,2015-01-25, Total,10 518,366,3199
154,Sierra Leone,2015-01-25, Confirmed,7968,366,2833
155,Sierra Leone,2015-01-25, Probable,287,Not reported,208
156,Sierra Leone,2015-01-26, Total,10 537,,3207
157,Sierra Leone,2015-01-26, Confirmed,7977,,2841
158,Sierra Leone,2015-01-26, Probable,287,,208
159,Sierra Leone,2015-01-26, Suspected,2273,,158
160,Sierra Leone,2015-01-27, Suspected,2285,,158
161,Sierra Leone,2015-01-27, Confirmed,7989,,2850
162,Sierra Leone,2015-01-27, Probable,287,,208
163,Sierra Leone,2015-01-27, Total,10 561,,3216
164,Sierra Leone,2015-01-31, Total,10 707,,3274
165,Sierra Leone,2015-01-31, Suspected,2378,,158
166,Sierra Leone,2015-01-31, Confirmed,8042,,2908
167,Sierra Leone,2015-01-31, Probable,287,,208
168,Sierra Leone,2015-02-01, Total,10 740,,3276
169,Sierra Leone,2015-02-01, Confirmed,8059,,2910
170,Sierra Leone,2015-02-01, Probable,287,,208
171,Sierra Leone,2015-02-01, Confirmed,8059,262,2910
172,Sierra Leone,2015-02-01, Suspected,2394,,158
173,Sierra Leone,2015-02-01, Probable,287,Not reported,208
174,Sierra Leone,2015-02-01, Suspected,2394,Not reported,158
175,Sierra Leone,2015-02-01, Total,10 740,262,3276
176,Sierra Leone,2015-02-02, Confirmed,8063,,2920
177,Sierra Leone,2015-02-02, Suspected,2406,,158
178,Sierra Leone,2015-02-02, Total,10 756,,3286
179,Sierra Leone,2015-02-02, Probable,287,,208
180,Sierra Leone,2015-02-03, Probable,287,,208
181,Sierra Leone,2015-02-03, Total,10 792,,3301
182,Sierra Leone,2015-02-03, Confirmed,8084,,2935
183,Sierra Leone,2015-02-03, Suspected,2421,,158
184,Sierra Leone,2015-02-07, Total,10 905,,3336
185,Sierra Leone,2015-02-07, Confirmed,8122,,2970
186,Sierra Leone,2015-02-07, Probable,287,,208
187,Sierra Leone,2015-02-07, Suspected,2496,,158
188,Sierra Leone,2015-02-08, Confirmed,8135,,2975
189,Sierra Leone,2015-02-08, Confirmed,8135,221,2975
190,Sierra Leone,2015-02-08, Probable,287,Not reported,208
191,Sierra Leone,2015-02-08, Suspected,2512,Not reported,158
192,Sierra Leone,2015-02-08, Total,10 934,221,3341
193,Sierra Leone,2015-02-08, Suspected,2512,,158
194,Sierra Leone,2015-02-08, Total,10 934,,3341
195,Sierra Leone,2015-02-08, Probable,287,,208
196,Sierra Leone,2015-02-09, Probable,287,,208
197,Sierra Leone,2015-02-09, Suspected,2529,,158
198,Sierra Leone,2015-02-09, Total,10 954,,3350
199,Sierra Leone,2015-02-09, Confirmed,8138,,2984
200,Sierra Leone,2015-02-10, Total,10 987,,3363
201,Sierra Leone,2015-02-10, Confirmed,8155,,2997
202,Sierra Leone,2015-02-10, Suspected,2545,,158
203,Sierra Leone,2015-02-10, Probable,287,,208
204,Sierra Leone,2015-02-14, Total,11 074,,3401
205,Sierra Leone,2015-02-14, Confirmed,8199,,3035
206,Sierra Leone,2015-02-14, Probable,287,,208
207,Sierra Leone,2015-02-14, Suspected,2588,,158
208,Sierra Leone,2015-02-15, Total,11 103,230,3408
209,Sierra Leone,2015-02-15, Suspected,2604,Not reported,158
210,Sierra Leone,2015-02-15, Probable,287,Not reported,208
211,Sierra Leone,2015-02-15, Confirmed,8212,230,3042
212,Sierra Leone,2015-02-15, Confirmed,8212,,3042
213,Sierra Leone,2015-02-15, Total,11 103,,3408
214,Sierra Leone,2015-02-15, Probable,287,,208
215,Sierra Leone,2015-02-15, Suspected,2604,,158
216,Sierra Leone,2015-02-17, Suspected,2645,,158
217,Sierra Leone,2015-02-17, Probable,287,,208
218,Sierra Leone,2015-02-17, Suspected,2645,,158
219,Sierra Leone,2015-02-17, Confirmed,8223,,3057
220,Sierra Leone,2015-02-17, Total,11 155,,3423
221,Sierra Leone,2015-02-17, Confirmed,8223,,3057
222,Sierra Leone,2015-02-17, Probable,287,,208
223,Sierra Leone,2015-02-17, Total,11 155,,3423
224,Sierra Leone,2015-02-17, Probable,287,,208
225,Sierra Leone,2015-02-17, Total,11 155,,3423
226,Sierra Leone,2015-02-17, Confirmed,8223,,3057
227,Sierra Leone,2015-02-17, Suspected,2645,,158
228,Sierra Leone,2015-02-22, Suspected,2725,Not reported,158
229,Sierra Leone,2015-02-22, Total,11 301,235,3461
230,Sierra Leone,2015-02-22, Confirmed,8289,235,3095
231,Sierra Leone,2015-02-22, Probable,287,Not reported,208
232,Sierra Leone,2015-02-24, Confirmed,8308,,3113
233,Sierra Leone,2015-02-24, Probable,287,,208
234,Sierra Leone,2015-02-24, Suspected,2746,,158
235,Sierra Leone,2015-02-24, Total,11 341,,3479
236,Sierra Leone,2015-02-25, Total,11 370,,3490
237,Sierra Leone,2015-02-25, Suspected,2763,,158
238,Sierra Leone,2015-02-25, Probable,287,,208
239,Sierra Leone,2015-02-25, Confirmed,8320,,3124
240,Sierra Leone,2015-02-28, Total,11 443,,3530
241,Sierra Leone,2015-02-28, Confirmed,8353,,3164
242,Sierra Leone,2015-02-28, Probable,287,,208
243,Sierra Leone,2015-02-28, Suspected,2803,,158
244,Sierra Leone,2015-03-01, Total,11 466,240,3546
245,Sierra Leone,2015-03-01, Probable,287,Not reported,208
246,Sierra Leone,2015-03-01, Confirmed,8370,240,3180
247,Sierra Leone,2015-03-01, Suspected,2809,Not reported,158
248,Sierra Leone,2015-03-03, Total,11 497,,3565
249,Sierra Leone,2015-03-03, Suspected,2827,,158
250,Sierra Leone,2015-03-03, Probable,287,,208
251,Sierra Leone,2015-03-03, Confirmed,8383,,3199
252,Sierra Leone,2015-03-04, Total,11 517,,3576
253,Sierra Leone,2015-03-04, Suspected,2841,,158
254,Sierra Leone,2015-03-04, Probable,287,,208
255,Sierra Leone,2015-03-04, Confirmed,8389,,3210
256,Sierra Leone,2015-03-07, Total,11 586,,3611
257,Sierra Leone,2015-03-07, Probable,287,,208
258,Sierra Leone,2015-03-07, Confirmed,8416,,3245
259,Sierra Leone,2015-03-07, Suspected,2883,,158
260,Sierra Leone,2015-03-08, Suspected,2904,Not reported,158
261,Sierra Leone,2015-03-08, Confirmed,8428,202,3263
262,Sierra Leone,2015-03-08, Total,11 619,,3629
263,Sierra Leone,2015-03-08, Suspected,2904,,158
264,Sierra Leone,2015-03-08, Total,11 619,202,3629
265,Sierra Leone,2015-03-08, Probable,287,,208
266,Sierra Leone,2015-03-08, Probable,287,Not reported,208
267,Sierra Leone,2015-03-08, Confirmed,8428,,3263
268,Sierra Leone,2015-03-10, Total,11 677,,3655
269,Sierra Leone,2015-03-10, Suspected,2927,,158
270,Sierra Leone,2015-03-10, Confirmed,8463,,3289
271,Sierra Leone,2015-03-10, Probable,287,,208
272,Sierra Leone,2015-03-11, Probable,287,,208
273,Sierra Leone,2015-03-11, Confirmed,8469,,3297
274,Sierra Leone,2015-03-11, Total,11 696,,3663
275,Sierra Leone,2015-03-11, Suspected,2940,,158
276,Sierra Leone,2015-03-14, Suspected,2971,,158
277,Sierra Leone,2015-03-14, Probable,287,,208
278,Sierra Leone,2015-03-14, Total,11 742,,3687
279,Sierra Leone,2015-03-14, Confirmed,8484,,3321
