Virus Family,Virus Genus,Virus Species,Region,Sub-region,Date,Type,Case Number,Comments
Orthomyxovididae,Influenza Viruses,,United States,,1997-10-12,Influenza Like Illness,570,
Orthomyxovididae,Influenza Viruses,,United States,,1997-10-19,Influenza Like Illness,615,
Orthomyxovididae,Influenza Viruses,,United States,,1997-10-26,Influenza Like Illness,681,
Orthomyxovididae,Influenza Viruses,,United States,,1997-11-02,Influenza Like Illness,653,
Orthomyxovididae,Influenza Viruses,,United States,,1997-11-09,Influenza Like Illness,700,
Orthomyxovididae,Influenza Viruses,,United States,,1997-11-16,Influenza Like Illness,655,
Orthomyxovididae,Influenza Viruses,,United States,,1997-11-23,Influenza Like Illness,932,
Orthomyxovididae,Influenza Viruses,,United States,,1997-11-30,Influenza Like Illness,1100,
Orthomyxovididae,Influenza Viruses,,United States,,1997-12-07,Influenza Like Illness,886,
Orthomyxovididae,Influenza Viruses,,United States,,1997-12-14,Influenza Like Illness,1098,
Orthomyxovididae,Influenza Viruses,,United States,,1997-12-21,Influenza Like Illness,1083,
Orthomyxovididae,Influenza Viruses,,United States,,1997-12-28,Influenza Like Illness,1004,
Orthomyxovididae,Influenza Viruses,,United States,,1998-01-04,Influenza Like Illness,1519,
Orthomyxovididae,Influenza Viruses,,United States,,1998-01-11,Influenza Like Illness,1946,
Orthomyxovididae,Influenza Viruses,,United States,,1998-01-11,Influenza Like Illness,2415,
Orthomyxovididae,Influenza Viruses,,United States,,1998-01-18,Influenza Like Illness,2613,
Orthomyxovididae,Influenza Viruses,,United States,,1998-01-25,Influenza Like Illness,3126,
Orthomyxovididae,Influenza Viruses,,United States,,1998-02-01,Influenza Like Illness,3437,
Orthomyxovididae,Influenza Viruses,,United States,,1998-02-08,Influenza Like Illness,3354,
Orthomyxovididae,Influenza Viruses,,United States,,1998-02-15,Influenza Like Illness,2617,
Orthomyxovididae,Influenza Viruses,,United States,,1998-02-22,Influenza Like Illness,1948,
Orthomyxovididae,Influenza Viruses,,United States,,1998-03-01,Influenza Like Illness,1289,
Orthomyxovididae,Influenza Viruses,,United States,,1998-03-08,Influenza Like Illness,827,
Orthomyxovididae,Influenza Viruses,,United States,,1998-03-15,Influenza Like Illness,748,
Orthomyxovididae,Influenza Viruses,,United States,,1998-03-22,Influenza Like Illness,585,
Orthomyxovididae,Influenza Viruses,,United States,,1998-03-29,Influenza Like Illness,486,
Orthomyxovididae,Influenza Viruses,,United States,,1998-04-05,Influenza Like Illness,358,
Orthomyxovididae,Influenza Viruses,,United States,,1998-04-12,Influenza Like Illness,368,
Orthomyxovididae,Influenza Viruses,,United States,,1998-04-19,Influenza Like Illness,262,
Orthomyxovididae,Influenza Viruses,,United States,,1998-04-26,Influenza Like Illness,265,
Orthomyxovididae,Influenza Viruses,,United States,,1998-05-03,Influenza Like Illness,266,
Orthomyxovididae,Influenza Viruses,,United States,,1998-05-10,Influenza Like Illness,209,
Orthomyxovididae,Influenza Viruses,,United States,,1998-05-17,Influenza Like Illness,186,
Orthomyxovididae,Influenza Viruses,,United States,,1998-05-24,Influenza Like Illness,165,
Orthomyxovididae,Influenza Viruses,,United States,,1998-05-31,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,1998-06-07,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,1998-06-14,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,1998-06-21,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,1998-06-28,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,1998-07-05,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,1998-07-12,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,1998-07-19,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,1998-07-26,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,1998-08-02,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,1998-08-09,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,1998-08-16,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,1998-08-23,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,1998-08-30,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,1998-09-06,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,1998-09-13,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,1998-09-20,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,1998-09-27,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,1998-10-04,Influenza Like Illness,0,
Orthomyxovididae,Influenza Viruses,,United States,,1998-10-11,Influenza Like Illness,490,
Orthomyxovididae,Influenza Viruses,,United States,,1998-10-18,Influenza Like Illness,605,
Orthomyxovididae,Influenza Viruses,,United States,,1998-10-25,Influenza Like Illness,783,
