Virus Family,Virus Genus,Virus Species,Region,Sub-region,Date,Type,Case Number,Comments
Orthomyxovididae,Influenza Viruses A,,United States,,1997-10-12,% Positive Cases,0.0,
Orthomyxovididae,Influenza Viruses A,,United States,,1997-10-19,% Positive Cases,0.007270323859881031,
Orthomyxovididae,Influenza Viruses A,,United States,,1997-10-26,% Positive Cases,0.010309278350515464,
Orthomyxovididae,Influenza Viruses A,,United States,,1997-11-02,% Positive Cases,0.004194128220491312,
Orthomyxovididae,Influenza Viruses A,,United States,,1997-11-09,% Positive Cases,0.005271481286241434,
Orthomyxovididae,Influenza Viruses A,,United States,,1997-11-16,% Positive Cases,0.002849002849002849,
Orthomyxovididae,Influenza Viruses A,,United States,,1997-11-23,% Positive Cases,0.003176043557168784,
Orthomyxovididae,Influenza Viruses A,,United States,,1997-11-30,% Positive Cases,0.008685353335965259,
Orthomyxovididae,Influenza Viruses A,,United States,,1997-12-07,% Positive Cases,0.016057091882247992,
Orthomyxovididae,Influenza Viruses A,,United States,,1997-12-14,% Positive Cases,0.014959723820483314,
Orthomyxovididae,Influenza Viruses A,,United States,,1997-12-21,% Positive Cases,0.031108230719377836,
Orthomyxovididae,Influenza Viruses A,,United States,,1997-12-28,% Positive Cases,0.07126099706744868,
Orthomyxovididae,Influenza Viruses A,,United States,,1998-01-04,% Positive Cases,0.12600776351149598,
Orthomyxovididae,Influenza Viruses A,,United States,,1998-01-11,% Positive Cases,0.17923671058609722,
Orthomyxovididae,Influenza Viruses A,,United States,,1998-01-11,% Positive Cases,0.19248205515678127,
Orthomyxovididae,Influenza Viruses A,,United States,,1998-01-18,% Positive Cases,0.20850754408289401,
Orthomyxovididae,Influenza Viruses A,,United States,,1998-01-25,% Positive Cases,0.2559715945771465,
Orthomyxovididae,Influenza Viruses A,,United States,,1998-02-01,% Positive Cases,0.28053491827637445,
Orthomyxovididae,Influenza Viruses A,,United States,,1998-02-08,% Positive Cases,0.26701653944020354,
Orthomyxovididae,Influenza Viruses A,,United States,,1998-02-15,% Positive Cases,0.24288392704959946,
Orthomyxovididae,Influenza Viruses A,,United States,,1998-02-22,% Positive Cases,0.20044861337683523,
Orthomyxovididae,Influenza Viruses A,,United States,,1998-03-01,% Positive Cases,0.14138364779874213,
Orthomyxovididae,Influenza Viruses A,,United States,,1998-03-08,% Positive Cases,0.09592931524140107,
Orthomyxovididae,Influenza Viruses A,,United States,,1998-03-15,% Positive Cases,0.07373965387509406,
Orthomyxovididae,Influenza Viruses A,,United States,,1998-03-22,% Positive Cases,0.051924798567591766,
Orthomyxovididae,Influenza Viruses A,,United States,,1998-03-29,% Positive Cases,0.0380859375,
Orthomyxovididae,Influenza Viruses A,,United States,,1998-04-05,% Positive Cases,0.023767082590612002,
Orthomyxovididae,Influenza Viruses A,,United States,,1998-04-12,% Positive Cases,0.018276762402088774,
Orthomyxovididae,Influenza Viruses A,,United States,,1998-04-19,% Positive Cases,0.01989683124539425,
Orthomyxovididae,Influenza Viruses A,,United States,,1998-04-26,% Positive Cases,0.011963406052076003,
Orthomyxovididae,Influenza Viruses A,,United States,,1998-05-03,% Positive Cases,0.008090614886731391,
Orthomyxovididae,Influenza Viruses A,,United States,,1998-05-10,% Positive Cases,0.009632224168126095,
Orthomyxovididae,Influenza Viruses A,,United States,,1998-05-17,% Positive Cases,0.004816955684007707,
Orthomyxovididae,Influenza Viruses A,,United States,,1998-05-24,% Positive Cases,0.0021321961620469083,
Orthomyxovididae,Influenza Viruses A,,United States,,1998-05-31,% Positive Cases,,
Orthomyxovididae,Influenza Viruses A,,United States,,1998-06-07,% Positive Cases,,
Orthomyxovididae,Influenza Viruses A,,United States,,1998-06-14,% Positive Cases,,
Orthomyxovididae,Influenza Viruses A,,United States,,1998-06-21,% Positive Cases,,
Orthomyxovididae,Influenza Viruses A,,United States,,1998-06-28,% Positive Cases,,
Orthomyxovididae,Influenza Viruses A,,United States,,1998-07-05,% Positive Cases,,
Orthomyxovididae,Influenza Viruses A,,United States,,1998-07-12,% Positive Cases,,
Orthomyxovididae,Influenza Viruses A,,United States,,1998-07-19,% Positive Cases,,
Orthomyxovididae,Influenza Viruses A,,United States,,1998-07-26,% Positive Cases,,
Orthomyxovididae,Influenza Viruses A,,United States,,1998-08-02,% Positive Cases,,
Orthomyxovididae,Influenza Viruses A,,United States,,1998-08-09,% Positive Cases,,
Orthomyxovididae,Influenza Viruses A,,United States,,1998-08-16,% Positive Cases,,
Orthomyxovididae,Influenza Viruses A,,United States,,1998-08-23,% Positive Cases,,
Orthomyxovididae,Influenza Viruses A,,United States,,1998-08-30,% Positive Cases,,
Orthomyxovididae,Influenza Viruses A,,United States,,1998-09-06,% Positive Cases,,
Orthomyxovididae,Influenza Viruses A,,United States,,1998-09-13,% Positive Cases,,
Orthomyxovididae,Influenza Viruses A,,United States,,1998-09-20,% Positive Cases,,
Orthomyxovididae,Influenza Viruses A,,United States,,1998-09-27,% Positive Cases,,
Orthomyxovididae,Influenza Viruses A,,United States,,1998-10-04,% Positive Cases,,
Orthomyxovididae,Influenza Viruses A,,United States,,1998-10-11,% Positive Cases,0.0014214641080312722,
Orthomyxovididae,Influenza Viruses A,,United States,,1998-10-18,% Positive Cases,0.0034411562284927736,
Orthomyxovididae,Influenza Viruses A,,United States,,1998-10-25,% Positive Cases,0.0018137847642079807,
Orthomyxovididae,Influenza Viruses A,,United States,,1998-11-01,% Positive Cases,0.0005512679162072767,
Orthomyxovididae,Influenza Viruses A,,United States,,1998-11-08,% Positive Cases,0.008776206728425159,
Orthomyxovididae,Influenza Viruses A,,United States,,1998-11-15,% Positive Cases,0.004500450045004501,
Orthomyxovididae,Influenza Viruses A,,United States,,1998-11-22,% Positive Cases,0.0019502681618722574,
Orthomyxovididae,Influenza Viruses A,,United States,,1998-11-29,% Positive Cases,0.004975124378109453,
Orthomyxovididae,Influenza Viruses A,,United States,,1998-12-06,% Positive Cases,0.0070921985815602835,
Orthomyxovididae,Influenza Viruses A,,United States,,1998-12-13,% Positive Cases,0.009868421052631578,
Orthomyxovididae,Influenza Viruses A,,United States,,1998-12-20,% Positive Cases,0.011532125205930808,
Orthomyxovididae,Influenza Viruses A,,United States,,1998-12-27,% Positive Cases,0.025373810602628003,
Orthomyxovididae,Influenza Viruses A,,United States,,1999-01-03,% Positive Cases,0.04767184035476718,
Orthomyxovididae,Influenza Viruses A,,United States,,1999-01-10,% Positive Cases,0.07236095346197503,
Orthomyxovididae,Influenza Viruses A,,United States,,1999-01-17,% Positive Cases,0.11905374132167652,
Orthomyxovididae,Influenza Viruses A,,United States,,1999-01-24,% Positive Cases,0.1670577193805725,
Orthomyxovididae,Influenza Viruses A,,United States,,1999-01-31,% Positive Cases,0.1690978886756238,
Orthomyxovididae,Influenza Viruses A,,United States,,1999-02-07,% Positive Cases,0.20804167344945465,
Orthomyxovididae,Influenza Viruses A,,United States,,1999-02-14,% Positive Cases,0.2210222087009431,
Orthomyxovididae,Influenza Viruses A,,United States,,1999-02-21,% Positive Cases,0.19872080916257623,
Orthomyxovididae,Influenza Viruses A,,United States,,1999-02-28,% Positive Cases,0.19694679564691656,
Orthomyxovididae,Influenza Viruses A,,United States,,1999-03-07,% Positive Cases,0.1774818810045508,
Orthomyxovididae,Influenza Viruses A,,United States,,1999-03-14,% Positive Cases,0.15551410585218,
Orthomyxovididae,Influenza Viruses A,,United States,,1999-03-21,% Positive Cases,0.11235675137020429,
Orthomyxovididae,Influenza Viruses A,,United States,,1999-03-28,% Positive Cases,0.10579888957433684,
Orthomyxovididae,Influenza Viruses A,,United States,,1999-04-04,% Positive Cases,0.06010324483775811,
Orthomyxovididae,Influenza Viruses A,,United States,,1999-04-11,% Positive Cases,0.062106210621062106,
Orthomyxovididae,Influenza Viruses A,,United States,,1999-04-18,% Positive Cases,0.05287623474723998,
Orthomyxovididae,Influenza Viruses A,,United States,,1999-04-25,% Positive Cases,0.02046783625730994,
Orthomyxovididae,Influenza Viruses A,,United States,,1999-05-02,% Positive Cases,0.02256317689530686,
Orthomyxovididae,Influenza Viruses A,,United States,,1999-05-09,% Positive Cases,0.013238289205702648,
Orthomyxovididae,Influenza Viruses A,,United States,,1999-05-16,% Positive Cases,0.006242197253433208,
Orthomyxovididae,Influenza Viruses A,,United States,,1999-05-23,% Positive Cases,0.009708737864077669,
Orthomyxovididae,Influenza Viruses A,,United States,,1999-05-30,% Positive Cases,0.029288702928870293,
Orthomyxovididae,Influenza Viruses A,,United States,,1999-06-06,% Positive Cases,0.010309278350515464,
Orthomyxovididae,Influenza Viruses A,,United States,,1999-06-13,% Positive Cases,0.0,
Orthomyxovididae,Influenza Viruses A,,United States,,1999-06-20,% Positive Cases,,
Orthomyxovididae,Influenza Viruses A,,United States,,1999-06-27,% Positive Cases,,
Orthomyxovididae,Influenza Viruses A,,United States,,1999-07-04,% Positive Cases,,
Orthomyxovididae,Influenza Viruses A,,United States,,1999-07-11,% Positive Cases,,
Orthomyxovididae,Influenza Viruses A,,United States,,1999-07-18,% Positive Cases,,
Orthomyxovididae,Influenza Viruses A,,United States,,1999-07-25,% Positive Cases,,
Orthomyxovididae,Influenza Viruses A,,United States,,1999-08-01,% Positive Cases,,
Orthomyxovididae,Influenza Viruses A,,United States,,1999-08-08,% Positive Cases,,
Orthomyxovididae,Influenza Viruses A,,United States,,1999-08-15,% Positive Cases,,
Orthomyxovididae,Influenza Viruses A,,United States,,1999-08-22,% Positive Cases,,
Orthomyxovididae,Influenza Viruses A,,United States,,1999-08-29,% Positive Cases,,
Orthomyxovididae,Influenza Viruses A,,United States,,1999-09-05,% Positive Cases,,
Orthomyxovididae,Influenza Viruses A,,United States,,1999-09-12,% Positive Cases,,
Orthomyxovididae,Influenza Viruses A,,United States,,1999-09-19,% Positive Cases,,
Orthomyxovididae,Influenza Viruses A,,United States,,1999-09-26,% Positive Cases,,
Orthomyxovididae,Influenza Viruses A,,United States,,1999-10-03,% Positive Cases,,
Orthomyxovididae,Influenza Viruses A,,United States,,1999-10-10,% Positive Cases,0.01066982809721399,
Orthomyxovididae,Influenza Viruses A,,United States,,1999-10-17,% Positive Cases,0.01009028146574615,
Orthomyxovididae,Influenza Viruses A,,United States,,1999-10-24,% Positive Cases,0.020982355746304245,
Orthomyxovididae,Influenza Viruses A,,United States,,1999-10-31,% Positive Cases,0.026364477335800184,
Orthomyxovididae,Influenza Viruses A,,United States,,1999-11-07,% Positive Cases,0.03830480847595762,
Orthomyxovididae,Influenza Viruses A,,United States,,1999-11-14,% Positive Cases,0.05745341614906832,
Orthomyxovididae,Influenza Viruses A,,United States,,1999-11-21,% Positive Cases,0.08071278825995808,
Orthomyxovididae,Influenza Viruses A,,United States,,1999-11-28,% Positive Cases,0.10520487264673312,
Orthomyxovididae,Influenza Viruses A,,United States,,1999-12-05,% Positive Cases,0.13706111833550064,
Orthomyxovididae,Influenza Viruses A,,United States,,1999-12-12,% Positive Cases,0.19086386250565354,
Orthomyxovididae,Influenza Viruses A,,United States,,1999-12-19,% Positive Cases,0.2326246203323209,
Orthomyxovididae,Influenza Viruses A,,United States,,1999-12-26,% Positive Cases,0.3094170403587444,
Orthomyxovididae,Influenza Viruses A,,United States,,2000-01-02,% Positive Cases,0.29318585279257137,
Orthomyxovididae,Influenza Viruses A,,United States,,2000-01-09,% Positive Cases,0.24955479045470735,
Orthomyxovididae,Influenza Viruses A,,United States,,2000-01-16,% Positive Cases,0.21276871276871276,
Orthomyxovididae,Influenza Viruses A,,United States,,2000-01-23,% Positive Cases,0.16677347004165333,
Orthomyxovididae,Influenza Viruses A,,United States,,2000-01-30,% Positive Cases,0.12586647209047794,
Orthomyxovididae,Influenza Viruses A,,United States,,2000-02-06,% Positive Cases,0.10637362637362638,
Orthomyxovididae,Influenza Viruses A,,United States,,2000-02-13,% Positive Cases,0.10051736881005174,
Orthomyxovididae,Influenza Viruses A,,United States,,2000-02-20,% Positive Cases,0.07294919103037184,
Orthomyxovididae,Influenza Viruses A,,United States,,2000-02-27,% Positive Cases,0.0607893061744112,
Orthomyxovididae,Influenza Viruses A,,United States,,2000-03-05,% Positive Cases,0.035211267605633804,
Orthomyxovididae,Influenza Viruses A,,United States,,2000-03-12,% Positive Cases,0.03143507972665148,
Orthomyxovididae,Influenza Viruses A,,United States,,2000-03-19,% Positive Cases,0.024489795918367346,
Orthomyxovididae,Influenza Viruses A,,United States,,2000-03-26,% Positive Cases,0.015965939329430547,
