,Microbe Family,Microbe Genus,Microbe Species,Region,Country,Domain,Sub-Domain,date,type,number
94598,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-07-25,Cases,2.0
94599,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-07-26,Cases,1.0
94600,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-07-27,Cases,0.0
94601,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-07-28,Cases,0.0
94602,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-07-29,Cases,0.0
94603,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-07-30,Cases,0.0
94604,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-07-31,Cases,0.0
94605,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-01,Cases,0.0
94606,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-02,Cases,0.0
94607,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-03,Cases,0.0
94608,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-04,Cases,0.0
94609,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-05,Cases,1.0
94610,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-06,Cases,0.0
94611,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-07,Cases,0.0
94612,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-08,Cases,0.0
94613,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-09,Cases,0.0
94614,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-10,Cases,0.0
94615,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-11,Cases,0.0
94616,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-12,Cases,0.0
94617,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-13,Cases,0.0
94618,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-14,Cases,0.0
94619,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-15,Cases,0.0
94620,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-16,Cases,0.0
94621,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-17,Cases,0.0
94622,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-18,Cases,0.0
94623,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-19,Cases,0.0
94624,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-20,Cases,0.0
94625,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-21,Cases,0.0
94626,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-22,Cases,0.0
94627,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-23,Cases,0.0
94628,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-24,Cases,0.0
94629,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-25,Cases,0.0
94630,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-26,Cases,0.0
94631,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-27,Cases,0.0
94632,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-28,Cases,0.0
94633,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-29,Cases,0.0
94634,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-30,Cases,0.0
94635,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-31,Cases,0.0
94636,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-01,Cases,0.0
94637,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-02,Cases,0.0
94638,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-03,Cases,0.0
94639,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-04,Cases,0.0
94640,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-05,Cases,0.0
94641,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-06,Cases,0.0
94642,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-07,Cases,0.0
94643,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-08,Cases,0.0
94644,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-09,Cases,0.0
94645,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-10,Cases,0.0
94646,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-11,Cases,0.0
94647,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-12,Cases,0.0
94648,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-13,Cases,0.0
94649,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-14,Cases,0.0
94650,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-15,Cases,0.0
94651,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-16,Cases,0.0
94652,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-17,Cases,0.0
94653,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-18,Cases,0.0
94654,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-19,Cases,0.0
94655,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-20,Cases,0.0
94656,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-21,Cases,0.0
94657,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-22,Cases,0.0
94658,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-23,Cases,0.0
94659,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-24,Cases,0.0
94660,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-25,Cases,0.0
94661,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-26,Cases,0.0
94662,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-27,Cases,0.0
94663,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-28,Cases,0.0
94664,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-29,Cases,0.0
94665,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-30,Cases,0.0
94666,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-01,Cases,0.0
94667,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-02,Cases,0.0
94668,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-03,Cases,0.0
94669,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-04,Cases,0.0
94670,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-05,Cases,0.0
94671,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-06,Cases,0.0
94672,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-07,Cases,0.0
94673,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-08,Cases,0.0
94674,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-09,Cases,0.0
94675,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-10,Cases,0.0
