,Microbe Family,Microbe Genus,Microbe Species,Region,Country,Domain,Sub-Domain,date,type,number
0,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-07-25,Cumulative_Cases,2.0
1,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-07-26,Cumulative_Cases,3.0
2,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-07-27,Cumulative_Cases,3.0
3,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-07-28,Cumulative_Cases,3.0
4,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-07-29,Cumulative_Cases,3.0
5,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-07-30,Cumulative_Cases,3.0
6,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-07-31,Cumulative_Cases,3.0
7,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-01,Cumulative_Cases,3.0
8,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-02,Cumulative_Cases,3.0
9,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-03,Cumulative_Cases,3.0
10,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-04,Cumulative_Cases,3.0
11,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-05,Cumulative_Cases,4.0
12,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-06,Cumulative_Cases,4.0
13,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-07,Cumulative_Cases,4.0
14,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-08,Cumulative_Cases,4.0
15,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-09,Cumulative_Cases,4.0
16,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-10,Cumulative_Cases,4.0
17,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-11,Cumulative_Cases,4.0
18,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-12,Cumulative_Cases,4.0
19,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-13,Cumulative_Cases,4.0
20,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-14,Cumulative_Cases,4.0
21,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-15,Cumulative_Cases,4.0
22,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-16,Cumulative_Cases,4.0
23,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-17,Cumulative_Cases,4.0
24,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-18,Cumulative_Cases,4.0
25,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-19,Cumulative_Cases,4.0
26,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-20,Cumulative_Cases,4.0
27,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-21,Cumulative_Cases,4.0
28,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-22,Cumulative_Cases,4.0
29,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-23,Cumulative_Cases,4.0
30,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-24,Cumulative_Cases,4.0
31,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-25,Cumulative_Cases,4.0
32,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-26,Cumulative_Cases,4.0
33,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-27,Cumulative_Cases,4.0
34,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-28,Cumulative_Cases,4.0
35,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-29,Cumulative_Cases,4.0
36,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-30,Cumulative_Cases,4.0
37,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-31,Cumulative_Cases,4.0
38,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-01,Cumulative_Cases,4.0
