,Microbe Family,Microbe Genus,Microbe Species,Region,Country,Domain,Sub-Domain,date,type,number
47299,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-07-25,Cumulative_Deaths,0.0
47300,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-07-26,Cumulative_Deaths,0.0
47301,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-07-27,Cumulative_Deaths,0.0
47302,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-07-28,Cumulative_Deaths,0.0
47303,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-07-29,Cumulative_Deaths,0.0
47304,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-07-30,Cumulative_Deaths,0.0
47305,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-07-31,Cumulative_Deaths,0.0
47306,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-01,Cumulative_Deaths,0.0
47307,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-02,Cumulative_Deaths,0.0
47308,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-03,Cumulative_Deaths,0.0
47309,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-04,Cumulative_Deaths,0.0
47310,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-05,Cumulative_Deaths,0.0
47311,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-06,Cumulative_Deaths,0.0
47312,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-07,Cumulative_Deaths,0.0
47313,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-08,Cumulative_Deaths,0.0
47314,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-09,Cumulative_Deaths,0.0
47315,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-10,Cumulative_Deaths,0.0
47316,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-11,Cumulative_Deaths,0.0
47317,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-12,Cumulative_Deaths,0.0
47318,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-13,Cumulative_Deaths,0.0
47319,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-14,Cumulative_Deaths,0.0
47320,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-15,Cumulative_Deaths,0.0
47321,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-16,Cumulative_Deaths,0.0
47322,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-17,Cumulative_Deaths,0.0
47323,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-18,Cumulative_Deaths,0.0
47324,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-19,Cumulative_Deaths,0.0
47325,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-20,Cumulative_Deaths,0.0
47326,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-21,Cumulative_Deaths,0.0
47327,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-22,Cumulative_Deaths,0.0
47328,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-23,Cumulative_Deaths,0.0
47329,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-24,Cumulative_Deaths,0.0
47330,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-25,Cumulative_Deaths,0.0
47331,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-26,Cumulative_Deaths,0.0
47332,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-27,Cumulative_Deaths,0.0
47333,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-28,Cumulative_Deaths,0.0
47334,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-29,Cumulative_Deaths,0.0
47335,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-30,Cumulative_Deaths,0.0
47336,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-31,Cumulative_Deaths,0.0
47337,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-01,Cumulative_Deaths,0.0
47338,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-02,Cumulative_Deaths,0.0
47339,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-03,Cumulative_Deaths,0.0
47340,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-04,Cumulative_Deaths,0.0
47341,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-05,Cumulative_Deaths,0.0
47342,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-06,Cumulative_Deaths,0.0
47343,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-07,Cumulative_Deaths,0.0
47344,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-08,Cumulative_Deaths,0.0
47345,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-09,Cumulative_Deaths,0.0
47346,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-10,Cumulative_Deaths,0.0
47347,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-11,Cumulative_Deaths,0.0
47348,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-12,Cumulative_Deaths,0.0
47349,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-13,Cumulative_Deaths,0.0
47350,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-14,Cumulative_Deaths,0.0
47351,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-15,Cumulative_Deaths,0.0
47352,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-16,Cumulative_Deaths,0.0
47353,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-17,Cumulative_Deaths,0.0
47354,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-18,Cumulative_Deaths,0.0
47355,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-19,Cumulative_Deaths,0.0
47356,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-20,Cumulative_Deaths,0.0
47357,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-21,Cumulative_Deaths,0.0
47358,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-22,Cumulative_Deaths,0.0
47359,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-23,Cumulative_Deaths,0.0
47360,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-24,Cumulative_Deaths,0.0
47361,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-25,Cumulative_Deaths,0.0
47362,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-26,Cumulative_Deaths,0.0
47363,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-27,Cumulative_Deaths,0.0
47364,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-28,Cumulative_Deaths,0.0
47365,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-29,Cumulative_Deaths,0.0
47366,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-30,Cumulative_Deaths,0.0
47367,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-01,Cumulative_Deaths,0.0
47368,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-02,Cumulative_Deaths,0.0
47369,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-03,Cumulative_Deaths,0.0
47370,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-04,Cumulative_Deaths,0.0
47371,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-05,Cumulative_Deaths,0.0
47372,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-06,Cumulative_Deaths,0.0
47373,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-07,Cumulative_Deaths,0.0
47374,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-08,Cumulative_Deaths,0.0
47375,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-09,Cumulative_Deaths,0.0
47376,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-10,Cumulative_Deaths,0.0
47377,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-11,Cumulative_Deaths,0.0
47378,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-12,Cumulative_Deaths,0.0
47379,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-13,Cumulative_Deaths,0.0
47380,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-14,Cumulative_Deaths,0.0
47381,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-15,Cumulative_Deaths,0.0
47382,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-16,Cumulative_Deaths,0.0
47383,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-17,Cumulative_Deaths,0.0
47384,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-18,Cumulative_Deaths,0.0
47385,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-19,Cumulative_Deaths,0.0
47386,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-20,Cumulative_Deaths,0.0
47387,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-21,Cumulative_Deaths,0.0
47388,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-22,Cumulative_Deaths,0.0
47389,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-23,Cumulative_Deaths,0.0
47390,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-24,Cumulative_Deaths,0.0
47391,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-25,Cumulative_Deaths,0.0
47392,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-26,Cumulative_Deaths,0.0
47393,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-27,Cumulative_Deaths,0.0
47394,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-28,Cumulative_Deaths,0.0
47395,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-29,Cumulative_Deaths,0.0
47396,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-30,Cumulative_Deaths,0.0
47397,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-31,Cumulative_Deaths,0.0
47398,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-11-01,Cumulative_Deaths,0.0
47399,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-11-02,Cumulative_Deaths,0.0
47400,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-11-03,Cumulative_Deaths,0.0
47401,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-11-04,Cumulative_Deaths,0.0
47402,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-11-05,Cumulative_Deaths,0.0
47403,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-11-06,Cumulative_Deaths,0.0
47404,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-11-07,Cumulative_Deaths,0.0
47405,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-11-08,Cumulative_Deaths,0.0
47406,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-11-09,Cumulative_Deaths,0.0
47407,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-11-10,Cumulative_Deaths,0.0
47408,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-11-11,Cumulative_Deaths,0.0
47409,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-11-12,Cumulative_Deaths,0.0
47410,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-11-13,Cumulative_Deaths,0.0
47411,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-11-14,Cumulative_Deaths,0.0
47412,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-11-15,Cumulative_Deaths,0.0
47413,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-11-16,Cumulative_Deaths,0.0
47414,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-11-17,Cumulative_Deaths,0.0
47415,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-11-18,Cumulative_Deaths,0.0
47416,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-11-19,Cumulative_Deaths,0.0
47417,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-11-20,Cumulative_Deaths,0.0
47418,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-11-21,Cumulative_Deaths,0.0
47419,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-11-22,Cumulative_Deaths,0.0
47420,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-11-23,Cumulative_Deaths,0.0
47421,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-11-24,Cumulative_Deaths,0.0
47422,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-11-25,Cumulative_Deaths,0.0
47423,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-11-26,Cumulative_Deaths,0.0
47424,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-11-27,Cumulative_Deaths,0.0
47425,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-11-28,Cumulative_Deaths,0.0
47426,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-11-29,Cumulative_Deaths,0.0
47427,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-11-30,Cumulative_Deaths,0.0
47428,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-12-01,Cumulative_Deaths,0.0
47429,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-12-02,Cumulative_Deaths,0.0
47430,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-12-03,Cumulative_Deaths,0.0
47431,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-12-04,Cumulative_Deaths,0.0
47432,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-12-05,Cumulative_Deaths,0.0
47433,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-12-06,Cumulative_Deaths,0.0
47434,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-12-07,Cumulative_Deaths,0.0
47435,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-12-08,Cumulative_Deaths,0.0
47436,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-12-09,Cumulative_Deaths,0.0
47437,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-12-10,Cumulative_Deaths,0.0
47438,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-12-11,Cumulative_Deaths,0.0
47439,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-12-12,Cumulative_Deaths,0.0
47440,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-12-13,Cumulative_Deaths,0.0
47441,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-12-14,Cumulative_Deaths,0.0
47442,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-12-15,Cumulative_Deaths,0.0
47443,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-12-16,Cumulative_Deaths,0.0
47444,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-12-17,Cumulative_Deaths,0.0
47445,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-12-18,Cumulative_Deaths,0.0
47446,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-12-19,Cumulative_Deaths,0.0
47447,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-12-20,Cumulative_Deaths,0.0
47448,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-12-21,Cumulative_Deaths,0.0
47449,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-12-22,Cumulative_Deaths,0.0
47450,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-12-23,Cumulative_Deaths,0.0
47451,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-12-24,Cumulative_Deaths,0.0
47452,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-12-25,Cumulative_Deaths,0.0
47453,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-12-26,Cumulative_Deaths,0.0
47454,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-12-27,Cumulative_Deaths,0.0
47455,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-12-28,Cumulative_Deaths,0.0
47456,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-12-29,Cumulative_Deaths,0.0
47457,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-12-30,Cumulative_Deaths,0.0
47458,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-12-31,Cumulative_Deaths,0.0
47459,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-01-01,Cumulative_Deaths,0.0
47460,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-01-02,Cumulative_Deaths,0.0
47461,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-01-03,Cumulative_Deaths,0.0
47462,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-01-04,Cumulative_Deaths,0.0
47463,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-01-05,Cumulative_Deaths,0.0
47464,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-01-06,Cumulative_Deaths,0.0
47465,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-01-07,Cumulative_Deaths,0.0
47466,Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2023-01-08,Cumulative_Deaths,0.0
