Microbe Family,Microbe Genus,Microbe Species,Region,Country,Domain,Sub-Domain,date,type,number
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-07-25,Deaths,0.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-07-26,Deaths,0.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-07-27,Deaths,0.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-07-28,Deaths,0.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-07-29,Deaths,0.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-07-30,Deaths,0.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-07-31,Deaths,0.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-01,Deaths,0.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-02,Deaths,0.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-03,Deaths,0.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-04,Deaths,0.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-05,Deaths,0.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-06,Deaths,0.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-07,Deaths,0.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-08,Deaths,0.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-09,Deaths,0.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-10,Deaths,0.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-11,Deaths,0.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-12,Deaths,0.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-13,Deaths,0.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-14,Deaths,0.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-15,Deaths,0.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-16,Deaths,0.0
