Virus Family,Virus Genus,Virus Species,Region,Sub-region,Date,Type,Case Number,Comments
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Germany,2003-03-17,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,North America,Canada,2003-03-17,Cases,8,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,Singapore,2003-03-17,Cases,20,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,"Hong Kong SAR, China",2003-03-17,Cases,95,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Switzerland,2003-03-17,Cases,2,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,Thailand,2003-03-17,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,Viet Nam,2003-03-17,Cases,40,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Germany,2003-03-18,Cases,2,
Coronaviridae,Betacoronavirus,SARS-CoV-1,North America,Canada,2003-03-18,Cases,8,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,China,2003-03-18,Cases,0,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,Singapore,2003-03-18,Cases,23,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,"Hong Kong SAR, China",2003-03-18,Cases,123,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,"Taiwan, China",2003-03-18,Cases,3,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,Thailand,2003-03-18,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,Viet Nam,2003-03-18,Cases,57,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Slovenia,2003-03-18,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,United Kingdom,2003-03-18,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,North America,Canada,2003-03-19,Cases,8,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,China,2003-03-19,Cases,0,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Germany,2003-03-19,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,"Hong Kong SAR, China",2003-03-19,Cases,150,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,Singapore,2003-03-19,Cases,31,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Slovenia,2003-03-19,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Spain,2003-03-19,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,"Taiwan, China",2003-03-19,Cases,3,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,Thailand,2003-03-19,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,United Kingdom,2003-03-19,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,North America,United States,2003-03-19,Cases,11,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,Viet Nam,2003-03-19,Cases,56,
Coronaviridae,Betacoronavirus,SARS-CoV-1,North America,Canada,2003-03-20,Cases,9,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,China,2003-03-20,Cases,0,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Germany,2003-03-20,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,"Hong Kong SAR, China",2003-03-20,Cases,173,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,Singapore,2003-03-20,Cases,34,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Slovenia,2003-03-20,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Spain,2003-03-20,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Switzerland,2003-03-20,Cases,7,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,"Taiwan, China",2003-03-20,Cases,4,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,Thailand,2003-03-20,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,United Kingdom,2003-03-20,Cases,2,
Coronaviridae,Betacoronavirus,SARS-CoV-1,North America,United States,2003-03-20,Cases,11,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,Viet Nam,2003-03-20,Cases,62,
Coronaviridae,Betacoronavirus,SARS-CoV-1,North America,Canada,2003-03-21,Cases,9,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,China,2003-03-21,Cases,0,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Germany,2003-03-21,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,"Hong Kong SAR, China",2003-03-21,Cases,203,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Italy,2003-03-21,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Republic of Ireland,2003-03-21,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,Singapore,2003-03-21,Cases,39,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Slovenia,2003-03-21,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Spain,2003-03-21,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Switzerland,2003-03-21,Cases,7,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,"Taiwan, China",2003-03-21,Cases,6,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,Thailand,2003-03-21,Cases,4,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,United Kingdom,2003-03-21,Cases,2,
Coronaviridae,Betacoronavirus,SARS-CoV-1,North America,United States,2003-03-21,Cases,13,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,Viet Nam,2003-03-21,Cases,62,
Coronaviridae,Betacoronavirus,SARS-CoV-1,North America,Canada,2003-03-22,Cases,9,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,China,2003-03-22,Cases,0,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Germany,2003-03-22,Cases,2,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,"Hong Kong SAR, China",2003-03-22,Cases,222,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Italy,2003-03-22,Cases,2,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Republic of Ireland,2003-03-22,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,Singapore,2003-03-22,Cases,44,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Slovenia,2003-03-22,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Spain,2003-03-22,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Switzerland,2003-03-22,Cases,7,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,"Taiwan, China",2003-03-22,Cases,6,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,Thailand,2003-03-22,Cases,4,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,United Kingdom,2003-03-22,Cases,2,
Coronaviridae,Betacoronavirus,SARS-CoV-1,North America,United States,2003-03-22,Cases,22,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,Viet Nam,2003-03-22,Cases,63,
Coronaviridae,Betacoronavirus,SARS-CoV-1,North America,Canada,2003-03-24,Cases,11,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,China,2003-03-24,Cases,0,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,France,2003-03-24,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Germany,2003-03-24,Cases,4,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,"Hong Kong SAR, China",2003-03-24,Cases,260,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Italy,2003-03-24,Cases,2,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Republic of Ireland,2003-03-24,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,Singapore,2003-03-24,Cases,65,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Spain,2003-03-24,Cases,1,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,Switzerland,2003-03-24,Cases,2,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,"Taiwan, China",2003-03-24,Cases,6,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Asia,Thailand,2003-03-24,Cases,5,
Coronaviridae,Betacoronavirus,SARS-CoV-1,Europe,United Kingdom,2003-03-24,Cases,3,
