Microbe Family,Microbe Genus,Microbe Species,Region,Country,State/City,date,type,number
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Germany,None,2003-03-17,Cumulative_Cases,1
Coronaviridae,Betacoronavirus,SARS-CoV-1,AMRO,Canada,None,2003-03-17,Cumulative_Cases,8
Coronaviridae,Betacoronavirus,SARS-CoV-1,WPRO,Singapore,None,2003-03-17,Cumulative_Cases,20
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,"Hong Kong SAR, China",None,2003-03-17,Cumulative_Cases,95
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Switzerland,None,2003-03-17,Cumulative_Cases,2
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,Thailand,None,2003-03-17,Cumulative_Cases,1
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,Viet Nam,None,2003-03-17,Cumulative_Cases,40
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Germany,None,2003-03-18,Cumulative_Cases,2
Coronaviridae,Betacoronavirus,SARS-CoV-1,AMRO,Canada,None,2003-03-18,Cumulative_Cases,8
Coronaviridae,Betacoronavirus,SARS-CoV-1,WPRO,China,None,2003-03-18,Cumulative_Cases,0
Coronaviridae,Betacoronavirus,SARS-CoV-1,WPRO,Singapore,None,2003-03-18,Cumulative_Cases,23
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,"Hong Kong SAR, China",None,2003-03-18,Cumulative_Cases,123
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,"Taiwan, China",None,2003-03-18,Cumulative_Cases,3
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,Thailand,None,2003-03-18,Cumulative_Cases,1
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,Viet Nam,None,2003-03-18,Cumulative_Cases,57
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Slovenia,None,2003-03-18,Cumulative_Cases,1
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,United Kingdom,None,2003-03-18,Cumulative_Cases,1
Coronaviridae,Betacoronavirus,SARS-CoV-1,AMRO,Canada,None,2003-03-19,Cumulative_Cases,8
Coronaviridae,Betacoronavirus,SARS-CoV-1,WPRO,China,None,2003-03-19,Cumulative_Cases,0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Germany,None,2003-03-19,Cumulative_Cases,1
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,"Hong Kong SAR, China",None,2003-03-19,Cumulative_Cases,150
Coronaviridae,Betacoronavirus,SARS-CoV-1,WPRO,Singapore,None,2003-03-19,Cumulative_Cases,31
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Slovenia,None,2003-03-19,Cumulative_Cases,1
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Spain,None,2003-03-19,Cumulative_Cases,1
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,"Taiwan, China",None,2003-03-19,Cumulative_Cases,3
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,Thailand,None,2003-03-19,Cumulative_Cases,1
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,United Kingdom,None,2003-03-19,Cumulative_Cases,1
Coronaviridae,Betacoronavirus,SARS-CoV-1,AMRO,United States,None,2003-03-19,Cumulative_Cases,11
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,Viet Nam,None,2003-03-19,Cumulative_Cases,56
Coronaviridae,Betacoronavirus,SARS-CoV-1,AMRO,Canada,None,2003-03-20,Cumulative_Cases,9
Coronaviridae,Betacoronavirus,SARS-CoV-1,WPRO,China,None,2003-03-20,Cumulative_Cases,0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Germany,None,2003-03-20,Cumulative_Cases,1
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,"Hong Kong SAR, China",None,2003-03-20,Cumulative_Cases,173
Coronaviridae,Betacoronavirus,SARS-CoV-1,WPRO,Singapore,None,2003-03-20,Cumulative_Cases,34
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Slovenia,None,2003-03-20,Cumulative_Cases,1
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Spain,None,2003-03-20,Cumulative_Cases,1
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Switzerland,None,2003-03-20,Cumulative_Cases,7
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,"Taiwan, China",None,2003-03-20,Cumulative_Cases,4
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,Thailand,None,2003-03-20,Cumulative_Cases,1
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,United Kingdom,None,2003-03-20,Cumulative_Cases,2
Coronaviridae,Betacoronavirus,SARS-CoV-1,AMRO,United States,None,2003-03-20,Cumulative_Cases,11
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,Viet Nam,None,2003-03-20,Cumulative_Cases,62
Coronaviridae,Betacoronavirus,SARS-CoV-1,AMRO,Canada,None,2003-03-21,Cumulative_Cases,9
Coronaviridae,Betacoronavirus,SARS-CoV-1,WPRO,China,None,2003-03-21,Cumulative_Cases,0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Germany,None,2003-03-21,Cumulative_Cases,1
