Microbe Family,Microbe Genus,Microbe Species,Region,Country,State/City,date,type,number
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Germany,None,2003-03-17,Recovered,0
Coronaviridae,Betacoronavirus,SARS-CoV-1,AMRO,Canada,None,2003-03-17,Recovered,0
Coronaviridae,Betacoronavirus,SARS-CoV-1,WPRO,Singapore,None,2003-03-17,Recovered,0
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,"Hong Kong SAR, China",None,2003-03-17,Recovered,0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Switzerland,None,2003-03-17,Recovered,0
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,Thailand,None,2003-03-17,Recovered,0
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,Viet Nam,None,2003-03-17,Recovered,0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Germany,None,2003-03-18,Recovered,0
Coronaviridae,Betacoronavirus,SARS-CoV-1,AMRO,Canada,None,2003-03-18,Recovered,0
Coronaviridae,Betacoronavirus,SARS-CoV-1,WPRO,China,None,2003-03-18,Recovered,0
Coronaviridae,Betacoronavirus,SARS-CoV-1,WPRO,Singapore,None,2003-03-18,Recovered,0
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,"Hong Kong SAR, China",None,2003-03-18,Recovered,0
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,"Taiwan, China",None,2003-03-18,Recovered,0
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,Thailand,None,2003-03-18,Recovered,0
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,Viet Nam,None,2003-03-18,Recovered,0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Slovenia,None,2003-03-18,Recovered,0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,United Kingdom,None,2003-03-18,Recovered,0
Coronaviridae,Betacoronavirus,SARS-CoV-1,AMRO,Canada,None,2003-03-19,Recovered,0
Coronaviridae,Betacoronavirus,SARS-CoV-1,WPRO,China,None,2003-03-19,Recovered,0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Germany,None,2003-03-19,Recovered,0
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,"Hong Kong SAR, China",None,2003-03-19,Recovered,0
Coronaviridae,Betacoronavirus,SARS-CoV-1,WPRO,Singapore,None,2003-03-19,Recovered,0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Slovenia,None,2003-03-19,Recovered,0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Spain,None,2003-03-19,Recovered,0
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,"Taiwan, China",None,2003-03-19,Recovered,0
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,Thailand,None,2003-03-19,Recovered,0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,United Kingdom,None,2003-03-19,Recovered,0
Coronaviridae,Betacoronavirus,SARS-CoV-1,AMRO,United States,None,2003-03-19,Recovered,0
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,Viet Nam,None,2003-03-19,Recovered,0
Coronaviridae,Betacoronavirus,SARS-CoV-1,AMRO,Canada,None,2003-03-20,Recovered,0
Coronaviridae,Betacoronavirus,SARS-CoV-1,WPRO,China,None,2003-03-20,Recovered,0
Coronaviridae,Betacoronavirus,SARS-CoV-1,EURO,Germany,None,2003-03-20,Recovered,0
Coronaviridae,Betacoronavirus,SARS-CoV-1,SEARO,"Hong Kong SAR, China",None,2003-03-20,Recovered,0
Coronaviridae,Betacoronavirus,SARS-CoV-1,WPRO,Singapore,None,2003-03-20,Recovered,0
