Microbe Family,Microbe Genus,Microbe Species,Region,Country,Domain,date,type,Sub-Domain,number
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2000-07-02,Cumulative_Cases,,0
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2000-07-09,Cumulative_Cases,,0
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2000-07-16,Cumulative_Cases,,0
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2000-07-23,Cumulative_Cases,,0
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2000-07-30,Cumulative_Cases,,0
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2000-08-06,Cumulative_Cases,,0
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2000-08-13,Cumulative_Cases,,0
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2000-08-20,Cumulative_Cases,,0
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2000-08-27,Cumulative_Cases,,0
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2000-09-03,Cumulative_Cases,,0
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2000-09-10,Cumulative_Cases,,1
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2000-09-17,Cumulative_Cases,,1
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2000-09-24,Cumulative_Cases,,1
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2000-10-01,Cumulative_Cases,,1
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2000-10-08,Cumulative_Cases,,1
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2000-10-15,Cumulative_Cases,,2
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2000-10-22,Cumulative_Cases,,3
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2000-10-29,Cumulative_Cases,,3
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2000-11-05,Cumulative_Cases,,3
Flaviviridae,Flavivirus,DENV,AMRO,Peru,Iquitos,2000-11-12,Cumulative_Cases,,3
