Microbe Family,Microbe Genus,Microbe Species,Region,Country,Domain,Sub-Domain,date,type,number
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-07-25,Cases,2.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-07-26,Cases,1.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-07-27,Cases,0.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-07-28,Cases,0.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-07-29,Cases,0.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-07-30,Cases,0.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-07-31,Cases,0.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-01,Cases,0.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-02,Cases,0.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-03,Cases,0.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-04,Cases,0.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-05,Cases,1.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-06,Cases,0.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-07,Cases,0.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-08,Cases,0.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-09,Cases,0.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-10,Cases,0.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-11,Cases,0.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-12,Cases,0.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-13,Cases,0.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-14,Cases,0.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-15,Cases,0.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-16,Cases,0.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-17,Cases,0.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-18,Cases,0.0
