Microbe Family,Microbe Genus,Microbe Species,Region,Country,Domain,Sub-Domain,date,type,number
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-07-25,Cumulative_Cases,2.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-07-26,Cumulative_Cases,3.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-07-27,Cumulative_Cases,3.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-07-28,Cumulative_Cases,3.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-07-29,Cumulative_Cases,3.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-07-30,Cumulative_Cases,3.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-07-31,Cumulative_Cases,3.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-01,Cumulative_Cases,3.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-02,Cumulative_Cases,3.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-03,Cumulative_Cases,3.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-04,Cumulative_Cases,3.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-05,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-06,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-07,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-08,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-09,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-10,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-11,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-12,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-13,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-14,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-15,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-16,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-17,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-18,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-19,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-20,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-21,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-22,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-23,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-24,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-25,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-26,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-27,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-28,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-29,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-30,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-08-31,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-01,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-02,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-03,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-04,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-05,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-06,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-07,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-08,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-09,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-10,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-11,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-12,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-13,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-14,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-15,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-16,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-17,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-18,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-19,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-20,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-21,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-22,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-23,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-24,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-25,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-26,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-27,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-28,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-29,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-09-30,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-01,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-02,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-03,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-04,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-05,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-06,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-07,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-08,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-09,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-10,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-11,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-12,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-13,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-14,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-15,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-16,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-17,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-18,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-19,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-20,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-21,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-22,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-23,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-24,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-25,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-26,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-27,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-28,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-29,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-30,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-10-31,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-11-01,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-11-02,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-11-03,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-11-04,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-11-05,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-11-06,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-11-07,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-11-08,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-11-09,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-11-10,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-11-11,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-11-12,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-11-13,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-11-14,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-11-15,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-11-16,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-11-17,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-11-18,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-11-19,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-11-20,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-11-21,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-11-22,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-11-23,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-11-24,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-11-25,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-11-26,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-11-27,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-11-28,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-11-29,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-11-30,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-12-01,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-12-02,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-12-03,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-12-04,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-12-05,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-12-06,Cumulative_Cases,4.0
Poxviridae,Orthopoxvirus,MPXV,EURO,Andorra,,,2022-12-07,Cumulative_Cases,4.0
