Microbe Family,Microbe Genus,Microbe Species,Region,Country,Domain,Sub-Domain,date,type,number
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2016-01-03,Cases,0.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2016-01-10,Cases,2.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2016-01-17,Cases,13.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2016-01-24,Cases,5.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2016-01-31,Cases,7.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2016-02-07,Cases,3.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2016-02-14,Cases,1.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2016-02-21,Cases,0.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2016-02-28,Cases,0.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2016-03-06,Cases,2.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2016-03-13,Cases,2.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2016-03-20,Cases,1.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2016-03-27,Cases,2.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2016-04-03,Cases,2.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2016-04-10,Cases,2.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2016-04-17,Cases,2.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2016-04-24,Cases,8.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2016-05-01,Cases,15.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2016-05-08,Cases,15.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2016-05-15,Cases,8.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2016-05-22,Cases,6.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2016-05-29,Cases,2.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2016-06-05,Cases,0.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2016-06-12,Cases,3.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2016-06-19,Cases,1.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2016-06-26,Cases,3.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2016-07-03,Cases,0.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2016-07-10,Cases,1.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2016-07-17,Cases,6.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2016-07-24,Cases,0.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2016-07-31,Cases,0.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2016-08-07,Cases,0.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2016-08-14,Cases,2.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2016-08-21,Cases,3.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2016-08-28,Cases,3.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2016-09-04,Cases,8.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2016-09-11,Cases,2.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2016-09-18,Cases,0.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2016-09-25,Cases,0.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2016-10-02,Cases,0.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2016-10-09,Cases,0.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2016-10-16,Cases,0.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2016-10-23,Cases,0.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2016-10-30,Cases,0.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2016-11-06,Cases,0.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2016-11-13,Cases,0.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2016-11-20,Cases,0.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2016-11-27,Cases,0.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2016-12-04,Cases,0.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2016-12-11,Cases,0.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2016-12-18,Cases,0.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2016-12-25,Cases,0.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2017-01-01,Cases,0.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2017-01-08,Cases,1.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2017-01-15,Cases,0.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2017-01-22,Cases,0.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2017-01-29,Cases,4.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2017-02-05,Cases,13.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2017-02-12,Cases,14.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2017-02-19,Cases,10.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2017-02-26,Cases,29.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2017-03-05,Cases,37.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2017-03-12,Cases,59.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2017-03-19,Cases,44.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2017-03-26,Cases,47.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2017-04-02,Cases,102.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2017-04-09,Cases,82.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2017-04-16,Cases,60.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2017-04-23,Cases,31.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2017-04-30,Cases,39.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2017-05-07,Cases,38.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2017-05-14,Cases,14.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2017-05-21,Cases,5.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2017-05-28,Cases,7.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2017-06-04,Cases,2.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2017-06-11,Cases,0.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2017-06-18,Cases,17.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2017-06-25,Cases,12.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2017-07-02,Cases,0.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2017-07-09,Cases,3.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2017-07-16,Cases,0.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2017-07-23,Cases,1.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2017-07-30,Cases,0.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Argentina,,,2017-08-06,Cases,14.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Brazil,,,2016-01-03,Cases,8197.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Brazil,,,2016-01-10,Cases,8349.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Brazil,,,2016-01-17,Cases,9499.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Brazil,,,2016-01-24,Cases,10488.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Brazil,,,2016-01-31,Cases,12964.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Brazil,,,2016-02-07,Cases,15157.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Brazil,,,2016-02-14,Cases,21272.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Brazil,,,2016-02-21,Cases,20858.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Brazil,,,2016-02-28,Cases,20106.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Brazil,,,2016-03-06,Cases,17524.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Brazil,,,2016-03-13,Cases,15656.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Brazil,,,2016-03-20,Cases,12810.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Brazil,,,2016-03-27,Cases,12715.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Brazil,,,2016-04-03,Cases,11261.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Brazil,,,2016-04-10,Cases,9997.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Brazil,,,2016-04-17,Cases,8404.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Brazil,,,2016-04-24,Cases,7415.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Brazil,,,2016-05-01,Cases,6147.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Brazil,,,2016-05-08,Cases,4998.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Brazil,,,2016-05-15,Cases,4119.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Brazil,,,2016-05-22,Cases,2998.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Brazil,,,2016-05-29,Cases,2930.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Brazil,,,2016-06-05,Cases,2512.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Brazil,,,2016-06-12,Cases,1894.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Brazil,,,2016-06-19,Cases,1549.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Brazil,,,2016-06-26,Cases,1336.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Brazil,,,2016-07-03,Cases,1130.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Brazil,,,2016-07-10,Cases,1021.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Brazil,,,2016-07-17,Cases,908.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Brazil,,,2016-07-24,Cases,785.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Brazil,,,2016-07-31,Cases,694.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Brazil,,,2016-08-07,Cases,628.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Brazil,,,2016-08-14,Cases,530.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Brazil,,,2016-08-21,Cases,507.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Brazil,,,2016-08-28,Cases,413.0
Flaviviridae,Flavivirus,ZIKV,AMRO,Brazil,,,2016-09-04,Cases,349.0
