Date,Confirmed,Suspected
7/2/2020,0,0
7/14/2020,165,311
7/15/2020,175,376
7/16/2020,176,353
7/17/2020,164,354
7/18/2020,173,329
7/19/2020,177,359
7/20/2020,168,387
7/21/2020,147,350
7/22/2020,187,75
7/23/2020,158,241
7/24/2020,142,211
7/25/2020,210,198
7/26/2020,211,179
7/27/2020,142,195
7/28/2020,143,204
7/29/2020,142,181
7/30/2020,143,167
7/31/2020,144,195
8/1/2020,447,208
8/2/2020,373,180
8/3/2020,146,163
8/4/2020,154,197
8/5/2020,169,176
8/6/2020,168,171
8/7/2020,170,162
8/8/2020,163,170
8/9/2020,153,151
8/10/2020,155,180
8/11/2020,163,214
8/12/2020,155,209
8/13/2020,157,198
8/14/2020,153,182
8/15/2020,152,184
8/16/2020,154,184
8/17/2020,154,176
8/18/2020,145,174
8/19/2020,153,186
8/20/2020,130,134
8/21/2020,119,150
8/22/2020,111,154
8/23/2020,107,150
8/24/2020,122,151
8/25/2020,119,165
8/26/2020,129,138
8/27/2020,126,126
8/28/2020,124,127
8/29/2020,124,109
8/30/2020,122,145
8/31/2020,128,134
9/1/2020,221,123
9/2/2020,216,127
9/3/2020,216,142
9/4/2020,220,144
9/5/2020,219,138
9/6/2020,140,133
9/7/2020,154,139
9/8/2020,153,137
9/9/2020,147,152
9/10/2020,143,134
9/11/2020,139,143
9/12/2020,130,140
9/13/2020,131,125
9/14/2020,140,142
9/15/2020,149,148
9/16/2020,155,163
9/17/2020,154,135
9/18/2020,154,158
9/19/2020,152,166
9/20/2020,148,161
9/21/2020,166,149
9/22/2020,157,148
9/23/2020,167,145
9/24/2020,169,151
9/25/2020,171,115
9/26/2020,182,156
9/27/2020,188,153
9/28/2020,196,151
9/29/2020,211,141
9/30/2020,207,150
10/1/2020,206,140
10/2/2020,213,137
10/3/2020,219,146
10/4/2020,224,168
10/5/2020,248,175
10/6/2020,256,174
10/7/2020,262,153
10/8/2020,258,164
10/9/2020,279,181
10/10/2020,269,172
10/11/2020,272,158
10/12/2020,274,166
10/13/2020,289,152
10/14/2020,278,160
10/15/2020,271,201
10/16/2020,253,177
10/17/2020,260,162
10/18/2020,283,159
10/19/2020,286,148
10/20/2020,302,139
10/21/2020,297,165
10/22/2020,307,180
10/23/2020,302,179
10/24/2020,301,179
10/25/2020,318,175
10/26/2020,335,141
10/27/2020,341,152
10/28/2020,340,172
10/29/2020,343,168
10/30/2020,362,218
10/31/2020,366,209
11/1/2020,384,217
11/2/2020,396,196
11/3/2020,399,230
11/4/2020,399,204
11/5/2020,405,187
11/6/2020,413,187
11/7/2020,434,178
11/8/2020,451,158
11/9/2020,477,138
11/10/2020,512,136
11/11/2020,516,161
11/12/2020,526,163
11/13/2020,564,185
11/14/2020,590,164
11/15/2020,637,171
11/16/2020,682,166
11/17/2020,723,167
11/18/2020,752,185
11/19/2020,740,183
11/20/2020,718,184
11/21/2020,719,208
11/22/2020,731,225
11/23/2020,759,170
11/24/2020,748,194
11/25/2020,784,197
11/26/2020,799,195
11/27/2020,844,183
11/28/2020,876,176
11/29/2020,961,182
11/30/2020,964,158
12/1/2020,1009,179
12/2/2020,1104,196
12/3/2020,1170,166
12/4/2020,1198,170
12/5/2020,1176,177
12/6/2020,1269,160
12/7/2020,1274,151
12/8/2020,1300,185
12/9/2020,1370,197
12/10/2020,1373,191
12/11/2020,1409,212
12/12/2020,1445,191
12/13/2020,1520,190
12/14/2020,1522,201
12/15/2020,1530,229
12/16/2020,1604,195
12/17/2020,1621,209
12/18/2020,1652,212
12/19/2020,1640,220
12/20/2020,1696,197
12/21/2020,1644,165
12/22/2020,1954,246
12/23/2020,1804,187
12/24/2020,1796,193
12/25/2020,1784,204
12/26/2020,1866,168
12/27/2020,1922,194
12/28/2020,1886,197
12/29/2020,1878,217
12/30/2020,1969,217
12/31/2020,2023,217
1/1/2021,1993,214
1/2/2021,1997,170
1/3/2021,2067,212
1/4/2021,2067,196
1/5/2021,2010,187
1/6/2021,2020,189
1/7/2021,1984,267
1/8/2021,1959,169
1/9/2021,1874,177
1/10/2021,1878,199
1/11/2021,1829,157
1/12/2021,1807,184
1/13/2021,1899,178
1/14/2021,1881,168
1/15/2021,1890,190
1/16/2021,1853,171
1/17/2021,1898,171
1/18/2021,1847,193
1/19/2021,1828,173
1/20/2021,1851,205
1/21/2021,1801,181
1/22/2021,1758,168
1/23/2021,1661,166
1/24/2021,1665,143
1/25/2021,1592,145
1/26/2021,1580,164
1/27/2021,1554,181
1/28/2021,1486,187
1/29/2021,1456,178
1/30/2021,1421,174
1/31/2021,1424,145
2/1/2021,1330,114
2/2/2021,1351,150
2/3/2021,1310,171
2/4/2021,1273,172
2/5/2021,1232,157
2/6/2021,1161,154
2/7/2021,1149,144
2/8/2021,1123,84
2/9/2021,1093,143
2/10/2021,1084,143
2/11/2021,989,133
2/12/2021,910,157
2/13/2021,907,153
2/14/2021,893,146
2/15/2021,864,104
2/16/2021,861,109
2/17/2021,843,127
2/18/2021,810,140
2/19/2021,799,130
2/20/2021,768,167
2/21/2021,738,139
2/22/2021,695,136
2/23/2021,694,124
2/24/2021,699,126
2/25/2021,663,145
2/26/2021,640,124
2/27/2021,632,135
2/28/2021,654,139
3/1/2021,610,121
3/2/2021,596,105
3/3/2021,596,104
3/4/2021,562,108
3/5/2021,540,119
3/6/2021,524,95
3/7/2021,526,91
3/8/2021,532,81
3/9/2021,518,76
3/10/2021,522,77
3/11/2021,493,76
3/12/2021,488,83
3/13/2021,488,89
3/14/2021,478,97
3/15/2021,468,89
3/16/2021,476,93
3/17/2021,467,88
3/18/2021,462,85
3/19/2021,466,94
3/20/2021,464,88
3/21/2021,487,75
3/22/2021,463,75
3/23/2021,486,68
3/24/2021,530,74
3/25/2021,524,90
3/26/2021,550,99
3/27/2021,551,97
3/28/2021,552,89
3/29/2021,540,96
3/30/2021,524,77
3/31/2021,551,71
4/1/2021,560,83
4/2/2021,554,74
4/3/2021,557,89
4/4/2021,551,96
4/5/2021,557,94
4/6/2021,579,94
4/7/2021,565,80
4/8/2021,545,96
4/9/2021,518,103
4/10/2021,535,96
4/11/2021,546,109
4/12/2021,544,84
4/13/2021,547,104
4/14/2021,550,95
4/15/2021,537,73
4/16/2021,527,78
4/17/2021,544,87
4/18/2021,547,70
4/19/2021,534,57
4/20/2021,524,102
4/21/2021,496,107
4/22/2021,499,79
4/23/2021,499,69
4/24/2021,499,62
4/25/2021,481,74
4/26/2021,464,69
4/27/2021,435,61
4/28/2021,450,68
4/29/2021,424,64
4/30/2021,412,86
5/1/2021,400,74
5/2/2021,409,79
5/3/2021,378,76
5/4/2021,353,71
5/5/2021,359,75
5/6/2021,344,74
5/7/2021,340,57
5/8/2021,343,68
5/9/2021,336,62
5/10/2021,324,48
5/11/2021,313,58
5/12/2021,295,73
5/13/2021,294,66
5/14/2021,272,66
5/15/2021,260,65
5/16/2021,256,78
5/17/2021,227,68
5/18/2021,230,72
5/19/2021,236,74
5/20/2021,222,84
5/21/2021,204,71
5/22/2021,185,82
5/23/2021,191,95
5/24/2021,172,60
5/25/2021,181,65
5/26/2021,177,72
5/27/2021,167,71
5/28/2021,164,54
5/29/2021,164,55
5/30/2021,158,58
5/31/2021,148,56
6/1/2021,141,54
6/2/2021,133,52
6/3/2021,126,67
6/4/2021,118,60
6/5/2021,115,59
6/6/2021,115,50
6/7/2021,113,39
6/8/2021,112,47
6/9/2021,119,55
6/10/2021,98,52
6/11/2021,88,61
6/12/2021,83,54
6/13/2021,92,52
6/14/2021,77,40
6/15/2021,71,46
6/16/2021,80,42
6/17/2021,81,36
6/18/2021,77,48
6/19/2021,76,51
6/20/2021,68,36
6/21/2021,66,41
6/22/2021,60,37
6/23/2021,67,31
6/24/2021,67,30
6/25/2021,75,37
6/26/2021,69,46
6/27/2021,62,55
6/28/2021,70,47
6/29/2021,74,48
6/30/2021,72,50
7/1/2021,69,44
7/2/2021,60,46
7/3/2021,57,29
7/4/2021,57,38
7/5/2021,53,33
7/6/2021,58,35
7/7/2021,63,38
7/8/2021,64,48
7/9/2021,60,44
7/10/2021,63,45
7/11/2021,68,35
7/12/2021,60,26
7/13/2021,64,32
7/14/2021,73,39
7/15/2021,74,39
7/16/2021,80,41
7/17/2021,81,33
7/18/2021,78,49
7/19/2021,69,34
7/20/2021,73,32
7/21/2021,91,42
7/22/2021,95,41
7/23/2021,106,52
7/24/2021,117,51
7/25/2021,124,48
7/26/2021,130,47
7/27/2021,136,42
7/28/2021,147,51
7/29/2021,165,47
7/30/2021,173,48
7/31/2021,181,50
8/1/2021,169,55
8/2/2021,186,35
8/3/2021,199,37
8/4/2021,217,26
8/5/2021,219,32
8/6/2021,220,43
8/7/2021,238,41
8/8/2021,244,40
8/9/2021,257,31
8/10/2021,261,41
8/11/2021,300,43
8/12/2021,303,46
8/13/2021,307,58
8/14/2021,328,61
8/15/2021,342,66
8/16/2021,341,30
8/17/2021,347,32
8/18/2021,350,39
8/19/2021,364,43
8/20/2021,375,53
8/21/2021,399,62
8/22/2021,401,56
8/23/2021,446,57
8/24/2021,450,63
8/25/2021,436,46
8/26/2021,450,57
8/27/2021,437,52
8/28/2021,453,40
8/29/2021,461,42
8/30/2021,443,36
8/31/2021,463,31
9/1/2021,448,35
9/2/2021,459,49
9/3/2021,455,65
9/4/2021,409,60
9/5/2021,439,55
9/6/2021,450,40
9/7/2021,468,53
9/8/2021,470,52
9/9/2021,470,62
9/10/2021,484,70
9/11/2021,490,54
9/12/2021,517,53
9/13/2021,543,48
9/14/2021,537,78
9/15/2021,539,70
9/16/2021,574,62
9/17/2021,558,71
9/18/2021,535,70
9/19/2021,517,69
9/20/2021,478,35
9/21/2021,471,57
9/22/2021,463,41
9/23/2021,475,44
9/24/2021,462,46
9/25/2021,453,47
9/26/2021,469,41
9/27/2021,482,39
9/28/2021,475,39
9/29/2021,456,32
9/30/2021,450,26
10/1/2021,468,39
10/2/2021,441,46
10/3/2021,423,46
10/4/2021,424,42
10/5/2021,439,50
10/6/2021,419,42
10/7/2021,417,44
10/8/2021,400,51
10/9/2021,398,59
10/10/2021,421,53
10/11/2021,401,50
10/12/2021,411,39
10/13/2021,435,49
10/14/2021,414,73
10/15/2021,386,61
10/16/2021,414,68
10/17/2021,448,61
10/18/2021,441,41
10/19/2021,424,50
10/20/2021,399,30
10/21/2021,391,49
10/22/2021,395,41
10/23/2021,398,49
10/24/2021,398,42
10/25/2021,411,47
10/26/2021,400,38
10/27/2021,393,49
10/28/2021,398,47
10/29/2021,381,38
10/30/2021,385,50
10/31/2021,399,47
11/1/2021,396,50
11/2/2021,385,47
11/3/2021,361,32
11/4/2021,362,46
11/5/2021,383,61
11/6/2021,373,60
11/7/2021,380,38
11/8/2021,376,39
11/9/2021,390,44
11/10/2021,408,59
11/11/2021,409,71
11/12/2021,425,67
11/13/2021,438,70
11/14/2021,446,75
11/15/2021,478,49
11/16/2021,525,57
11/17/2021,543,49
11/18/2021,556,60
11/19/2021,551,41
11/20/2021,559,44
11/21/2021,594,50
11/22/2021,596,38
11/23/2021,609,28
11/24/2021,628,20
11/25/2021,651,40
11/26/2021,668,47
11/27/2021,690,57
11/28/2021,695,62
11/29/2021,725,47
11/30/2021,765,58
12/1/2021,818,51
12/2/2021,849,44
12/3/2021,852,60
12/4/2021,885,67
12/5/2021,923,53
12/6/2021,918,39
12/7/2021,972,55
12/8/2021,990,44
12/9/2021,991,66
12/10/2021,1043,321
12/11/2021,1065,55
12/12/2021,1090,53
12/13/2021,1125,39
12/14/2021,1090,53
12/15/2021,1161,38
12/16/2021,1188,35
