Virus Family,Virus Genus,Virus Species,Region,Sub-region,Date,Type,Case Number,Comments
Flaviviridae,Flavivirus,ZIKV,South America,Argentina,2016-01-03,Suspect and Confirmed Cases,0.0,
Flaviviridae,Flavivirus,ZIKV,South America,Argentina,2016-01-10,Suspect and Confirmed Cases,2.0,
Flaviviridae,Flavivirus,ZIKV,South America,Argentina,2016-01-17,Suspect and Confirmed Cases,13.0,
Flaviviridae,Flavivirus,ZIKV,South America,Argentina,2016-01-24,Suspect and Confirmed Cases,5.0,
Flaviviridae,Flavivirus,ZIKV,South America,Argentina,2016-01-31,Suspect and Confirmed Cases,7.0,
Flaviviridae,Flavivirus,ZIKV,South America,Argentina,2016-02-07,Suspect and Confirmed Cases,3.0,
Flaviviridae,Flavivirus,ZIKV,South America,Argentina,2016-02-14,Suspect and Confirmed Cases,1.0,
Flaviviridae,Flavivirus,ZIKV,South America,Argentina,2016-02-21,Suspect and Confirmed Cases,0.0,
Flaviviridae,Flavivirus,ZIKV,South America,Argentina,2016-02-28,Suspect and Confirmed Cases,0.0,
Flaviviridae,Flavivirus,ZIKV,South America,Argentina,2016-03-06,Suspect and Confirmed Cases,2.0,
Flaviviridae,Flavivirus,ZIKV,South America,Argentina,2016-03-13,Suspect and Confirmed Cases,2.0,
Flaviviridae,Flavivirus,ZIKV,South America,Argentina,2016-03-20,Suspect and Confirmed Cases,1.0,
Flaviviridae,Flavivirus,ZIKV,South America,Argentina,2016-03-27,Suspect and Confirmed Cases,2.0,
Flaviviridae,Flavivirus,ZIKV,South America,Argentina,2016-04-03,Suspect and Confirmed Cases,2.0,
Flaviviridae,Flavivirus,ZIKV,South America,Argentina,2016-04-10,Suspect and Confirmed Cases,2.0,
Flaviviridae,Flavivirus,ZIKV,South America,Argentina,2016-04-17,Suspect and Confirmed Cases,2.0,
Flaviviridae,Flavivirus,ZIKV,South America,Argentina,2016-04-24,Suspect and Confirmed Cases,8.0,
Flaviviridae,Flavivirus,ZIKV,South America,Argentina,2016-05-01,Suspect and Confirmed Cases,15.0,
Flaviviridae,Flavivirus,ZIKV,South America,Argentina,2016-05-08,Suspect and Confirmed Cases,15.0,
Flaviviridae,Flavivirus,ZIKV,South America,Argentina,2016-05-15,Suspect and Confirmed Cases,8.0,
Flaviviridae,Flavivirus,ZIKV,South America,Argentina,2016-05-22,Suspect and Confirmed Cases,6.0,
Flaviviridae,Flavivirus,ZIKV,South America,Argentina,2016-05-29,Suspect and Confirmed Cases,2.0,
Flaviviridae,Flavivirus,ZIKV,South America,Argentina,2016-06-05,Suspect and Confirmed Cases,0.0,
Flaviviridae,Flavivirus,ZIKV,South America,Argentina,2016-06-12,Suspect and Confirmed Cases,3.0,
